"","Year","Council","","Man / Boy","Woman / Girl","Identified in another way","Refused","16-34","35-59","60 plus","All"
"1","2013","Aberdeen City","Walking (at least 30 min)","64","64.7","-","-","66.2","70.6","51.4","64.4"
"2","2013","Aberdeenshire","Walking (at least 30 min)","69.4","71.5","-","-","66","77","64.3","70.5"
"3","2013","Angus","Walking (at least 30 min)","65.3","70.5","-","-","*","62.7","66","68"
"4","2013","Argyll & Bute","Walking (at least 30 min)","63.8","60.5","-","-","*","64.9","53.9","62.1"
"5","2013","Clackmannanshire","Walking (at least 30 min)","67.7","62.2","-","-","73","73.1","44.7","64.9"
"6","2013","Dumfries & Galloway","Walking (at least 30 min)","56.3","78.7","-","-","*","76","53.4","67.9"
"7","2013","Dundee City","Walking (at least 30 min)","61.2","71.2","-","-","75.7","70.1","48.6","66.4"
"8","2013","East Ayrshire","Walking (at least 30 min)","48","57.5","-","-","*","56.7","42.3","53"
"9","2013","East Dunbartonshire","Walking (at least 30 min)","65.5","62.6","-","-","*","69.8","55.5","64"
"10","2013","East Lothian","Walking (at least 30 min)","60.8","66.7","-","-","*","76.1","46.6","63.9"
"11","2013","East Renfrewshire","Walking (at least 30 min)","63.1","65.5","-","-","*","83.4","50.5","64.4"
"12","2013","Edinburgh, City of","Walking (at least 30 min)","69.9","72","-","-","71.7","75.6","62.9","71"
"13","2013","Falkirk","Walking (at least 30 min)","60.9","64.4","-","-","*","65.7","49.5","62.7"
"14","2013","Fife","Walking (at least 30 min)","62.1","67","-","-","72.1","65.3","56.8","64.7"
"15","2013","Glasgow City","Walking (at least 30 min)","62.6","61.9","-","-","69.4","63.3","47.8","62.2"
"16","2013","Highland","Walking (at least 30 min)","72.1","73.9","-","-","*","80.3","54.2","73"
"17","2013","Inverclyde","Walking (at least 30 min)","63.3","59.6","-","-","65.4","64.2","53.5","61.3"
"18","2013","Midlothian","Walking (at least 30 min)","56.7","55.6","-","-","*","59","49.2","56.1"
"19","2013","Moray","Walking (at least 30 min)","62.8","73.4","-","-","63.5","79.5","56.5","68.3"
"20","2013","Na h-Eileanan Siar","Walking (at least 30 min)","67.4","69.4","-","-","*","78.9","50.5","68.4"
"21","2013","North Ayrshire","Walking (at least 30 min)","66.7","61.9","-","-","65.8","74.8","46.7","64.1"
"22","2013","North Lanarkshire","Walking (at least 30 min)","55.7","59.3","-","-","65.6","62.5","40.1","57.6"
"23","2013","Orkney Islands","Walking (at least 30 min)","69.4","78.8","-","-","85.2","76.4","63.7","74.2"
"24","2013","Perth & Kinross","Walking (at least 30 min)","74.8","73.6","-","-","*","82.6","63.7","74.2"
"25","2013","Renfrewshire","Walking (at least 30 min)","61","54.2","-","-","49.4","71.1","46","57.4"
"26","2013","Scotland","Walking (at least 30 min)","63.9","66.4","-","-","69.7","69.7","53.8","65.2"
"27","2013","Scottish Borders","Walking (at least 30 min)","67.6","70.3","-","-","68.9","74.9","62","69"
"28","2013","Shetland Islands","Walking (at least 30 min)","60.3","76.8","-","-","78.6","75.5","47.4","68.5"
"29","2013","South Ayrshire","Walking (at least 30 min)","62.4","70.4","-","-","79.9","66.9","57.7","66.6"
"30","2013","South Lanarkshire","Walking (at least 30 min)","60.6","70.1","-","-","73.1","67.3","55.3","65.6"
"31","2013","Stirling","Walking (at least 30 min)","80.1","83.2","-","-","89.8","85.3","68.3","81.8"
"32","2013","West Dunbartonshire","Walking (at least 30 min)","59.8","53.6","-","-","58.7","64","42.5","56.5"
"33","2013","West Lothian","Walking (at least 30 min)","65","57.3","-","-","70","58.1","55.8","61"
"34","2013","Aberdeen City","Swimming","20","24.3","-","-","29.9","21.2","11","22.2"
"35","2013","Aberdeenshire","Swimming","7.8","17.8","-","-","14","13.5","11","12.9"
"36","2013","Angus","Swimming","14.3","20.7","-","-","*","15.2","11.3","17.6"
"37","2013","Argyll & Bute","Swimming","16","16.1","-","-","*","15.7","8.1","16.1"
"38","2013","Clackmannanshire","Swimming","14","18.2","-","-","22.2","20.6","3.8","16.2"
"39","2013","Dumfries & Galloway","Swimming","11.4","18.3","-","-","*","21","8.7","15"
"40","2013","Dundee City","Swimming","19.7","12.4","-","-","20.5","17.2","7.6","15.9"
"41","2013","East Ayrshire","Swimming","11.2","14.8","-","-","*","15.7","9.3","13.1"
"42","2013","East Dunbartonshire","Swimming","18.1","21.7","-","-","*","15","15.7","20"
"43","2013","East Lothian","Swimming","21","27","-","-","*","30.2","13.7","24.2"
"44","2013","East Renfrewshire","Swimming","14.5","16.5","-","-","*","18.7","10.7","15.6"
"45","2013","Edinburgh, City of","Swimming","20.3","18.3","-","-","21.3","23","10.5","19.3"
"46","2013","Falkirk","Swimming","15.5","18.8","-","-","*","16.5","12.8","17.2"
"47","2013","Fife","Swimming","8.8","16.1","-","-","17.8","12.1","8.3","12.6"
"48","2013","Glasgow City","Swimming","15.5","17.1","-","-","19.6","17.1","9","16.3"
"49","2013","Highland","Swimming","15.8","26.2","-","-","*","25.6","9","21.2"
"50","2013","Inverclyde","Swimming","9.9","18","-","-","19.9","14.3","8.9","14.2"
"51","2013","Midlothian","Swimming","19.2","20.2","-","-","*","19.3","11.1","19.7"
"52","2013","Moray","Swimming","19.4","20.8","-","-","38.1","20.1","4.7","20.1"
"53","2013","Na h-Eileanan Siar","Swimming","19.4","17.9","-","-","*","18.5","5.6","18.6"
"54","2013","North Ayrshire","Swimming","18.2","22.4","-","-","31.6","23.1","6.7","20.4"
"55","2013","North Lanarkshire","Swimming","14.6","19.6","-","-","20.2","20.7","7.8","17.2"
"56","2013","Orkney Islands","Swimming","20.7","20.2","-","-","32.6","22.3","9.6","20.4"
"57","2013","Perth & Kinross","Swimming","23.4","27.7","-","-","*","29.7","11.5","25.6"
"58","2013","Renfrewshire","Swimming","11.6","20.3","-","-","20.7","20.1","6.6","16.2"
"59","2013","Scotland","Swimming","15.6","19","-","-","22.8","19.1","9.3","17.4"
"60","2013","Scottish Borders","Swimming","19.7","22.6","-","-","19.5","25.5","17.1","21.2"
"61","2013","Shetland Islands","Swimming","20.3","17.6","-","-","33","17.8","7.2","19"
"62","2013","South Ayrshire","Swimming","7.5","12.6","-","-","17.5","8.5","7.3","10.2"
"63","2013","South Lanarkshire","Swimming","13.2","12.3","-","-","13.4","17.1","4.8","12.7"
"64","2013","Stirling","Swimming","20.3","20.3","-","-","36.7","17.6","7.3","20.3"
"65","2013","West Dunbartonshire","Swimming","18.1","16.1","-","-","25.5","16.8","8.6","17"
"66","2013","West Lothian","Swimming","20","26.2","-","-","32.5","24.6","9.2","23.2"
"67","2013","Aberdeen City","Keep fit","8.2","19","-","-","18.6","11","9.7","13.7"
"68","2013","Aberdeenshire","Keep fit","4.5","15.6","-","-","9.5","12.1","7.7","10.1"
"69","2013","Angus","Keep fit","16.7","21.6","-","-","*","16.4","15.8","19.2"
"70","2013","Argyll & Bute","Keep fit","5.6","10","-","-","*","9.5","4","7.8"
"71","2013","Clackmannanshire","Keep fit","10.8","10.8","-","-","15.2","11.3","6.2","10.8"
"72","2013","Dumfries & Galloway","Keep fit","0.9","18.5","-","-","*","13","1.8","10"
"73","2013","Dundee City","Keep fit","13.5","16.3","-","-","21.2","13.5","8.4","15"
"74","2013","East Ayrshire","Keep fit","10","14.7","-","-","*","19.3","4.3","12.4"
"75","2013","East Dunbartonshire","Keep fit","8.9","19.9","-","-","*","10.2","9.1","14.6"
"76","2013","East Lothian","Keep fit","7","17.9","-","-","*","16.3","7","12.7"
"77","2013","East Renfrewshire","Keep fit","8.2","24","-","-","*","15.9","9.3","16.6"
"78","2013","Edinburgh, City of","Keep fit","11.5","22.2","-","-","24.5","14.8","8.6","17"
"79","2013","Falkirk","Keep fit","7.2","11.2","-","-","*","9.7","2.1","9.3"
"80","2013","Fife","Keep fit","7.6","18.6","-","-","19.8","11.9","9.4","13.3"
"81","2013","Glasgow City","Keep fit","12.1","15.3","-","-","18.7","12.4","7.5","13.8"
"82","2013","Highland","Keep fit","7.6","17.3","-","-","*","11.4","4.6","12.6"
"83","2013","Inverclyde","Keep fit","12.1","9.6","-","-","23.6","8.8","2.1","10.8"
"84","2013","Midlothian","Keep fit","9","14.2","-","-","*","3.4","8.2","11.7"
"85","2013","Moray","Keep fit","7.9","18","-","-","20.8","13.7","5.5","13.1"
"86","2013","Na h-Eileanan Siar","Keep fit","4.2","14.2","-","-","*","7.1","6.6","9.3"
"87","2013","North Ayrshire","Keep fit","13.2","16.5","-","-","27.7","13.1","6.9","15"
"88","2013","North Lanarkshire","Keep fit","9.4","14.5","-","-","19.3","11.5","4.5","12"
"89","2013","Orkney Islands","Keep fit","8.1","19.6","-","-","25.1","11.4","9","13.9"
"90","2013","Perth & Kinross","Keep fit","6.6","16.4","-","-","*","13.6","11.5","11.7"
"91","2013","Renfrewshire","Keep fit","11.5","17.8","-","-","21.5","16.7","5.9","14.8"
"92","2013","Scotland","Keep fit","9.1","16.9","-","-","19.6","12.5","7.5","13.2"
"93","2013","Scottish Borders","Keep fit","9.1","13.1","-","-","15","13.4","6.2","11.2"
"94","2013","Shetland Islands","Keep fit","6.6","23.8","-","-","33","11.5","3.7","15.1"
"95","2013","South Ayrshire","Keep fit","8.5","18.6","-","-","18.3","12.4","12.5","13.8"
"96","2013","South Lanarkshire","Keep fit","7.3","16.1","-","-","20.4","9.6","7.3","11.9"
"97","2013","Stirling","Keep fit","4.8","18.8","-","-","18.1","11","7.7","12.2"
"98","2013","West Dunbartonshire","Keep fit","5.6","16.6","-","-","20.4","8.6","6.6","11.4"
"99","2013","West Lothian","Keep fit","11.9","15.7","-","-","10.2","16.2","13.8","13.9"
"100","2013","Aberdeen City","MultiGym / Weight training","17.7","11.2","-","-","19.7","14","6.3","14.4"
"101","2013","Aberdeenshire","MultiGym / Weight training","9.6","5.6","-","-","14.7","7","2.1","7.6"
"102","2013","Angus","MultiGym / Weight training","14.1","8.8","-","-","*","13.6","1.5","11.3"
"103","2013","Argyll & Bute","MultiGym / Weight training","11.8","6.3","-","-","*","9.5","4.5","9"
"104","2013","Clackmannanshire","MultiGym / Weight training","16.2","5.8","-","-","22.1","9.5","2.6","10.9"
"105","2013","Dumfries & Galloway","MultiGym / Weight training","8","5","-","-","*","6.3","0.5","6.4"
"106","2013","Dundee City","MultiGym / Weight training","14.3","16.7","-","-","33.5","7.7","1.5","15.6"
"107","2013","East Ayrshire","MultiGym / Weight training","21.1","7.8","-","-","*","15.9","-","14.2"
"108","2013","East Dunbartonshire","MultiGym / Weight training","22.3","8.3","-","-","*","15.7","4","15"
"109","2013","East Lothian","MultiGym / Weight training","9.4","10.2","-","-","*","12.8","-","9.8"
"110","2013","East Renfrewshire","MultiGym / Weight training","24.8","10.7","-","-","*","17.7","4.9","17.3"
"111","2013","Edinburgh, City of","MultiGym / Weight training","17.6","14.2","-","-","26.8","11.5","5.2","15.8"
"112","2013","Falkirk","MultiGym / Weight training","14.8","7","-","-","*","10.5","6.7","10.8"
"113","2013","Fife","MultiGym / Weight training","12.9","8.9","-","-","22.8","6.9","5.3","10.8"
"114","2013","Glasgow City","MultiGym / Weight training","17.3","8.5","-","-","21.3","9.1","3.9","12.7"
"115","2013","Highland","MultiGym / Weight training","15.4","9.4","-","-","*","14.7","1.5","12.3"
"116","2013","Inverclyde","MultiGym / Weight training","5.3","4.9","-","-","11","4","1.3","5.1"
"117","2013","Midlothian","MultiGym / Weight training","20","11.8","-","-","*","6.2","2.8","15.7"
"118","2013","Moray","MultiGym / Weight training","10.2","11.1","-","-","15.3","14.3","1.4","10.7"
"119","2013","Na h-Eileanan Siar","MultiGym / Weight training","9.8","10.2","-","-","*","5.6","5.7","10"
"120","2013","North Ayrshire","MultiGym / Weight training","26","10.5","-","-","39.6","16.1","1.3","17.8"
"121","2013","North Lanarkshire","MultiGym / Weight training","14.8","6.3","-","-","20.1","8.8","1.7","10.3"
"122","2013","Orkney Islands","MultiGym / Weight training","14.6","8.2","-","-","20.2","11.3","5","11.3"
"123","2013","Perth & Kinross","MultiGym / Weight training","19.4","4.8","-","-","*","8.5","4.2","11.8"
"124","2013","Renfrewshire","MultiGym / Weight training","24.3","10.5","-","-","38.3","12.6","3.4","17.1"
"125","2013","Scotland","MultiGym / Weight training","16.3","9","-","-","23.5","11","3.2","12.5"
"126","2013","Scottish Borders","MultiGym / Weight training","15.1","3.2","-","-","16.5","12.5","-","8.9"
"127","2013","Shetland Islands","MultiGym / Weight training","11.3","14","-","-","27.2","9.2","4.2","12.6"
"128","2013","South Ayrshire","MultiGym / Weight training","18.7","9.8","-","-","33.8","11.5","3.8","13.9"
"129","2013","South Lanarkshire","MultiGym / Weight training","13.3","5.8","-","-","13.3","10.9","2.9","9.4"
"130","2013","Stirling","MultiGym / Weight training","15.5","6.8","-","-","28.1","5.7","0.6","11"
"131","2013","West Dunbartonshire","MultiGym / Weight training","14.9","10.3","-","-","21.4","12.1","3.7","12.5"
"132","2013","West Lothian","MultiGym / Weight training","30.6","12.9","-","-","31.6","23.4","5.4","21.5"
"133","2013","Aberdeen City","Running / Jogging","12.7","17.6","-","-","25.4","11.9","3.4","15.2"
"134","2013","Aberdeenshire","Running / Jogging","10.9","13.3","-","-","13.2","17.5","2.9","12.1"
"135","2013","Angus","Running / Jogging","5.9","5.2","-","-","*","4.9","-","5.6"
"136","2013","Argyll & Bute","Running / Jogging","11.2","10.7","-","-","*","17.9","2.2","10.9"
"137","2013","Clackmannanshire","Running / Jogging","9.3","7.4","-","-","15.7","8.5","1.2","8.3"
"138","2013","Dumfries & Galloway","Running / Jogging","0.9","11.7","-","-","*","8.9","1.8","6.5"
"139","2013","Dundee City","Running / Jogging","19","14.8","-","-","34.2","10.4","1.5","16.8"
"140","2013","East Ayrshire","Running / Jogging","7.8","10.2","-","-","*","11.2","1.1","9"
"141","2013","East Dunbartonshire","Running / Jogging","17","4.6","-","-","*","16.2","-","10.5"
"142","2013","East Lothian","Running / Jogging","18","9.3","-","-","*","11.8","1.3","13.4"
"143","2013","East Renfrewshire","Running / Jogging","13.7","14.3","-","-","*","18.6","4.3","14"
"144","2013","Edinburgh, City of","Running / Jogging","20.8","12.9","-","-","29.7","12","3.4","16.7"
"145","2013","Falkirk","Running / Jogging","12.8","9.2","-","-","*","7.1","3.5","11"
"146","2013","Fife","Running / Jogging","12.4","10.5","-","-","27.3","8.1","1.3","11.4"
"147","2013","Glasgow City","Running / Jogging","19.9","9.6","-","-","26.9","8.9","3","14.5"
"148","2013","Highland","Running / Jogging","11.4","11.1","-","-","*","11","-","11.2"
"149","2013","Inverclyde","Running / Jogging","12.8","6","-","-","25.3","5.5","-","9.2"
"150","2013","Midlothian","Running / Jogging","22","9","-","-","*","9.8","-","15.2"
"151","2013","Moray","Running / Jogging","11.8","12.2","-","-","24.1","12.5","0.8","12"
"152","2013","Na h-Eileanan Siar","Running / Jogging","17.7","10.4","-","-","*","6.9","3.1","14"
"153","2013","North Ayrshire","Running / Jogging","15.6","5.7","-","-","20.4","11","0.7","10.4"
"154","2013","North Lanarkshire","Running / Jogging","15.5","6.7","-","-","19.3","11.4","0.4","10.9"
"155","2013","Orkney Islands","Running / Jogging","9.4","9.3","-","-","18.1","12","-","9.4"
"156","2013","Perth & Kinross","Running / Jogging","12.4","10.5","-","-","*","12.8","0.6","11.4"
"157","2013","Renfrewshire","Running / Jogging","17.7","10.1","-","-","25.8","15.5","-","13.7"
"158","2013","Scotland","Running / Jogging","14.6","10","-","-","23.6","11.2","1.7","12.2"
"159","2013","Scottish Borders","Running / Jogging","16.9","7.2","-","-","30.8","11.8","0.5","11.9"
"160","2013","Shetland Islands","Running / Jogging","19.2","17.1","-","-","39.5","15.9","1.1","18.2"
"161","2013","South Ayrshire","Running / Jogging","15.3","11.2","-","-","25.2","17.1","1","13.1"
"162","2013","South Lanarkshire","Running / Jogging","8.1","5.1","-","-","7.5","7","4.7","6.5"
"163","2013","Stirling","Running / Jogging","20.7","8.6","-","-","23.7","15.6","2.8","14.3"
"164","2013","West Dunbartonshire","Running / Jogging","21.2","8.3","-","-","24.7","16.6","-","14.3"
"165","2013","West Lothian","Running / Jogging","13","6.6","-","-","19.1","8.9","-","9.7"
"166","2013","Aberdeen City","Cycling (at least 30 min)","12","11.3","-","-","13","13.9","5.9","11.7"
"167","2013","Aberdeenshire","Cycling (at least 30 min)","11.5","12","-","-","7.8","18.9","4.1","11.7"
"168","2013","Angus","Cycling (at least 30 min)","20.9","6.7","-","-","*","15.4","8.3","13.5"
"169","2013","Argyll & Bute","Cycling (at least 30 min)","15.1","8","-","-","*","14.6","8","11.4"
"170","2013","Clackmannanshire","Cycling (at least 30 min)","21.7","7.9","-","-","20","16.9","6.1","14.6"
"171","2013","Dumfries & Galloway","Cycling (at least 30 min)","9.7","7.4","-","-","*","16.8","1.6","8.5"
"172","2013","Dundee City","Cycling (at least 30 min)","13.3","9.6","-","-","16.8","12","3","11.4"
"173","2013","East Ayrshire","Cycling (at least 30 min)","8.1","6","-","-","*","9.7","3.7","7"
"174","2013","East Dunbartonshire","Cycling (at least 30 min)","11.9","7.5","-","-","*","16.2","4","9.6"
"175","2013","East Lothian","Cycling (at least 30 min)","13","9.7","-","-","*","22.5","1.1","11.3"
"176","2013","East Renfrewshire","Cycling (at least 30 min)","11.5","6.2","-","-","*","14.5","1.9","8.7"
"177","2013","Edinburgh, City of","Cycling (at least 30 min)","20.1","13.2","-","-","17.2","23.9","4.1","16.5"
"178","2013","Falkirk","Cycling (at least 30 min)","22.6","7","-","-","*","14","6.3","14.6"
"179","2013","Fife","Cycling (at least 30 min)","13.1","6","-","-","16.1","9.8","2.6","9.4"
"180","2013","Glasgow City","Cycling (at least 30 min)","10.3","4.6","-","-","8","8.7","3.4","7.3"
"181","2013","Highland","Cycling (at least 30 min)","19.9","12.1","-","-","*","25.5","8.6","15.9"
"182","2013","Inverclyde","Cycling (at least 30 min)","8.9","5","-","-","6.1","8.8","4.6","6.8"
"183","2013","Midlothian","Cycling (at least 30 min)","22.5","2.8","-","-","*","11.7","2","12.2"
"184","2013","Moray","Cycling (at least 30 min)","19.7","10","-","-","19.2","18.1","5.9","14.7"
"185","2013","Na h-Eileanan Siar","Cycling (at least 30 min)","21.3","9.6","-","-","*","17.8","8.8","15.3"
"186","2013","North Ayrshire","Cycling (at least 30 min)","14.1","6.3","-","-","11.2","11.5","6.5","9.9"
"187","2013","North Lanarkshire","Cycling (at least 30 min)","9.2","2","-","-","0.5","11.1","1.3","5.4"
"188","2013","Orkney Islands","Cycling (at least 30 min)","17.8","13.9","-","-","17.7","20.8","8.5","15.8"
"189","2013","Perth & Kinross","Cycling (at least 30 min)","16.3","12","-","-","*","25","2.9","14.1"
"190","2013","Renfrewshire","Cycling (at least 30 min)","12.9","3.1","-","-","6.9","10.9","4.4","7.8"
"191","2013","Scotland","Cycling (at least 30 min)","14.1","7.8","-","-","11.5","14.8","4.2","10.8"
"192","2013","Scottish Borders","Cycling (at least 30 min)","19.5","5.6","-","-","15.1","16.5","5.5","12.3"
"193","2013","Shetland Islands","Cycling (at least 30 min)","7.9","4.9","-","-","7.9","8.3","1.8","6.4"
"194","2013","South Ayrshire","Cycling (at least 30 min)","15.5","8.4","-","-","18.4","14.1","4.9","11.7"
"195","2013","South Lanarkshire","Cycling (at least 30 min)","9.7","5.1","-","-","8.4","9.8","1.9","7.3"
"196","2013","Stirling","Cycling (at least 30 min)","22.9","17.7","-","-","23.8","23.6","11.5","20.2"
"197","2013","West Dunbartonshire","Cycling (at least 30 min)","14.2","4.3","-","-","12","11.8","1.3","8.9"
"198","2013","West Lothian","Cycling (at least 30 min)","10.1","10","-","-","4.3","17","3.4","10"
"199","2013","Aberdeen City","Dancing","4.7","12.4","-","-","14.6","5","4.5","8.6"
"200","2013","Aberdeenshire","Dancing","4","9.4","-","-","2.4","10","5.6","6.7"
"201","2013","Angus","Dancing","4.6","10.4","-","-","*","8.7","4.9","7.6"
"202","2013","Argyll & Bute","Dancing","1.4","8.3","-","-","*","10.6","1.7","5"
"203","2013","Clackmannanshire","Dancing","8.1","11.7","-","-","6.9","12","9.7","10"
"204","2013","Dumfries & Galloway","Dancing","1.3","12.1","-","-","*","5.4","6.4","6.9"
"205","2013","Dundee City","Dancing","6.1","10.1","-","-","11.7","6.7","5.4","8.2"
"206","2013","East Ayrshire","Dancing","-","4.1","-","-","*","1.9","4.4","2.2"
"207","2013","East Dunbartonshire","Dancing","4.7","6.6","-","-","*","2.9","4.7","5.7"
"208","2013","East Lothian","Dancing","1.5","12.9","-","-","*","7.3","3.4","7.5"
"209","2013","East Renfrewshire","Dancing","-","10.5","-","-","*","4.5","1.3","5.6"
"210","2013","Edinburgh, City of","Dancing","2.4","12.5","-","-","12","5.7","3.5","7.6"
"211","2013","Falkirk","Dancing","3.9","9.4","-","-","*","4.7","4.3","6.7"
"212","2013","Fife","Dancing","5.5","11.8","-","-","14.1","7","6.2","8.8"
"213","2013","Glasgow City","Dancing","4.8","9.4","-","-","9.5","7.2","3.2","7.2"
"214","2013","Highland","Dancing","5.9","10","-","-","*","2.7","6.1","8"
"215","2013","Inverclyde","Dancing","0.6","15.6","-","-","14.6","9.7","1.5","8.6"
"216","2013","Midlothian","Dancing","3.3","13.9","-","-","*","8.4","6.9","8.9"
"217","2013","Moray","Dancing","1.3","11","-","-","9.9","4.8","5.2","6.3"
"218","2013","Na h-Eileanan Siar","Dancing","2.2","10.5","-","-","*","6.6","3.9","6.4"
"219","2013","North Ayrshire","Dancing","1.6","5.5","-","-","-","3.8","6.7","3.7"
"220","2013","North Lanarkshire","Dancing","3.2","7.8","-","-","6.9","4.9","5.3","5.6"
"221","2013","Orkney Islands","Dancing","4.6","15","-","-","18.6","7.7","6.3","9.9"
"222","2013","Perth & Kinross","Dancing","4.8","11.5","-","-","*","5.5","7.6","8.3"
"223","2013","Renfrewshire","Dancing","9.6","8.9","-","-","13.9","8.5","6","9.2"
"224","2013","Scotland","Dancing","3.6","10.4","-","-","10.5","6.3","4.9","7.1"
"225","2013","Scottish Borders","Dancing","2.1","9.6","-","-","11","5.5","3.6","6"
"226","2013","Shetland Islands","Dancing","5.6","14.7","-","-","13.7","11.1","5.1","10.1"
"227","2013","South Ayrshire","Dancing","-","12.8","-","-","5.9","9.5","4.3","6.8"
"228","2013","South Lanarkshire","Dancing","1.8","6.6","-","-","4.3","5.3","2.8","4.3"
"229","2013","Stirling","Dancing","10","19.4","-","-","23.9","13.7","7.5","15"
"230","2013","West Dunbartonshire","Dancing","0.8","11.3","-","-","7.6","6.9","4.2","6.4"
"231","2013","West Lothian","Dancing","0.7","13.9","-","-","13.1","3.7","7.9","7.5"
"232","2013","Aberdeen City","Football","13.4","1.8","-","-","13.8","5.6","-","7.5"
"233","2013","Aberdeenshire","Football","7.7","0.6","-","-","11.8","2.3","-","4.1"
"234","2013","Angus","Football","15.9","0.5","-","-","*","8.5","1.3","7.9"
"235","2013","Argyll & Bute","Football","12.4","1.1","-","-","*","4.3","-","6.5"
"236","2013","Clackmannanshire","Football","9.1","1.7","-","-","12.6","4.3","-","5.3"
"237","2013","Dumfries & Galloway","Football","7.2","1.6","-","-","*","3.1","1","4.3"
"238","2013","Dundee City","Football","18.8","5.7","-","-","28.9","3.3","-","11.9"
"239","2013","East Ayrshire","Football","12.7","3.6","-","-","*","3.6","-","8"
"240","2013","East Dunbartonshire","Football","13.7","2.1","-","-","*","8","-","7.6"
"241","2013","East Lothian","Football","16.4","0.9","-","-","*","6.3","2.1","8.2"
"242","2013","East Renfrewshire","Football","7.4","-","-","-","*","3.5","1.3","3.5"
"243","2013","Edinburgh, City of","Football","20.6","1","-","-","17.8","8.9","1.3","10.5"
"244","2013","Falkirk","Football","16.4","-","-","-","*","2","2.1","7.9"
"245","2013","Fife","Football","12.1","1.9","-","-","15.4","5.4","0.7","6.8"
"246","2013","Glasgow City","Football","16.6","1.7","-","-","18.5","3.4","1.3","8.8"
"247","2013","Highland","Football","11.6","-","-","-","*","4","-","5.6"
"248","2013","Inverclyde","Football","18.1","1.3","-","-","23.1","6.9","-","9.2"
"249","2013","Midlothian","Football","23.4","3.1","-","-","*","8","-","12.8"
"250","2013","Moray","Football","13.3","2.3","-","-","20.3","4.5","1.3","7.7"
"251","2013","Na h-Eileanan Siar","Football","9.6","1.5","-","-","*","1.6","-","5.5"
"252","2013","North Ayrshire","Football","20.4","1.5","-","-","26","7.8","0.7","10.4"
"253","2013","North Lanarkshire","Football","14.4","-","-","-","17.9","3.3","0.4","6.9"
"254","2013","Orkney Islands","Football","11.3","2","-","-","17","6","-","6.6"
"255","2013","Perth & Kinross","Football","20.9","0.5","-","-","*","7.7","-","10.4"
"256","2013","Renfrewshire","Football","19.4","-","-","-","22.1","6.7","0.7","9.2"
"257","2013","Scotland","Football","15.2","1.4","-","-","18.8","5.4","0.6","8"
"258","2013","Scottish Borders","Football","16.3","2.8","-","-","16.2","12.7","0.9","9.3"
"259","2013","Shetland Islands","Football","10.5","0.7","-","-","14.2","4","-","5.7"
"260","2013","South Ayrshire","Football","16.7","2.6","-","-","31.7","4.4","-","9.2"
"261","2013","South Lanarkshire","Football","12.9","0.3","-","-","14.2","5.4","-","6.3"
"262","2013","Stirling","Football","11","1.4","-","-","12.8","5.1","-","5.9"
"263","2013","West Dunbartonshire","Football","20.4","0.8","-","-","21.2","9","-","10"
"264","2013","West Lothian","Football","18.5","3.7","-","-","26.3","6.1","1.4","10.8"
"265","2013","Aberdeen City","Golf","16","1.1","-","-","6.4","11.6","6.9","8.4"
"266","2013","Aberdeenshire","Golf","14.1","1.4","-","-","10.4","5.6","8.3","7.6"
"267","2013","Angus","Golf","13.5","1.4","-","-","*","9.7","9.4","7.2"
"268","2013","Argyll & Bute","Golf","8.2","3.4","-","-","*","3.2","10.8","5.7"
"269","2013","Clackmannanshire","Golf","16","2.4","-","-","7.3","11.6","6.7","9"
"270","2013","Dumfries & Galloway","Golf","9.4","1.6","-","-","*","9.3","2.8","5.3"
"271","2013","Dundee City","Golf","16.7","2.3","-","-","7.5","13.5","5.4","9.1"
"272","2013","East Ayrshire","Golf","11.3","-","-","-","*","10.2","0.9","5.4"
"273","2013","East Dunbartonshire","Golf","28.4","0.5","-","-","*","14.6","11.4","13.8"
"274","2013","East Lothian","Golf","13.8","3.6","-","-","*","9.9","8.7","8.4"
"275","2013","East Renfrewshire","Golf","15.3","3","-","-","*","7","13.1","8.8"
"276","2013","Edinburgh, City of","Golf","13.8","2","-","-","6.7","9","7.4","7.7"
"277","2013","Falkirk","Golf","9.5","2","-","-","*","3.9","3.7","5.7"
"278","2013","Fife","Golf","12.1","2.5","-","-","1.8","9.2","8.9","7.1"
"279","2013","Glasgow City","Golf","7.4","0.8","-","-","4.6","3.9","2.9","4"
"280","2013","Highland","Golf","11.8","-","-","-","*","5","4.4","5.7"
"281","2013","Inverclyde","Golf","9.7","2.3","-","-","8.9","4.9","4.1","5.7"
"282","2013","Midlothian","Golf","10.2","0.9","-","-","*","8.2","2.5","5.3"
"283","2013","Moray","Golf","11","3.7","-","-","4.2","10.7","4.9","7.2"
"284","2013","Na h-Eileanan Siar","Golf","6.3","1.7","-","-","*","1.5","1.6","4"
"285","2013","North Ayrshire","Golf","17.8","1.6","-","-","6.1","6.2","16.3","9.2"
"286","2013","North Lanarkshire","Golf","13.1","1.3","-","-","10.6","6.9","2.7","6.9"
"287","2013","Orkney Islands","Golf","11.4","1.1","-","-","7.4","7","4.4","6.2"
"288","2013","Perth & Kinross","Golf","14.3","2","-","-","*","10.3","11","8"
"289","2013","Renfrewshire","Golf","12.3","0.7","-","-","2.1","8","7.7","6.2"
"290","2013","Scotland","Golf","12.4","1.5","-","-","5.7","7.8","6.3","6.7"
"291","2013","Scottish Borders","Golf","12.7","2.3","-","-","5.4","9.4","5.9","7.3"
