"","Council","Internet Access","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"147","South Lanarkshire","No","58.5","57.7","48.4","46.4","46.9","38.3","35","31.4","*","25.3","24.8","20","27.2","14.2","18.5","8.7","17.3"
"148","South Lanarkshire","Don't know","0.1","0.1","-","0.2","0.2","-","0.2","-","*","-","-","0.6","-","0.7","-","-","-"
"149","South Lanarkshire","All","100","100","100","100","100","100","100","100","*","100","100","100","100","100","100","100","100"
"150","South Lanarkshire","Base","790","800","830","820","540","520","530","530","*","150","150","150","130","150","140","140","140"
"151","Stirling","Yes","47.9","50.7","49.9","56.7","59.2","62.2","67.8","74.4","*","81.9","79.6","86.7","86.1","89.8","85.3","84.3","97"
"152","Stirling","No","52.1","48.8","50.1","43.3","40.8","37.3","32.2","25.6","*","18.1","20.4","13.3","13.9","10.2","14.7","13.9","3"
"153","Stirling","Don't know","-","0.5","-","-","-","0.5","-","-","*","-","-","-","-","-","-","1.7","-"
"154","Stirling","All","100","100","100","100","100","100","100","100","*","100","100","100","100","100","100","100","100"
"155","Stirling","Base","300","310","310","330","250","200","200","230","*","90","80","80","80","80","90","60","60"
"156","West Dunbartonshire","Yes","36.8","35.9","39.4","52","50.8","63.9","64.6","61","*","74.6","72.7","75.9","75.5","83.1","78","84.4","84.9"
"157","West Dunbartonshire","No","62.8","64.1","60.6","48","49.2","35.6","35","39","*","24.8","27.3","22.4","24.5","16.9","22","15.6","15.1"
"158","West Dunbartonshire","Don't know","0.4","-","-","-","-","0.5","0.4","-","*","0.7","-","1.7","-","-","-","-","-"
"159","West Dunbartonshire","All","100","100","100","100","100","100","100","100","*","100","100","100","100","100","100","100","100"
"160","West Dunbartonshire","Base","240","270","250","270","220","210","190","180","*","90","100","90","90","90","80","60","70"
"161","West Lothian","Yes","42.1","42.6","52.4","55.3","57.6","66.9","67.1","72.2","*","76.6","82.7","80","87.4","80.4","77.2","82.9","79.5"
"162","West Lothian","No","57.9","57.2","47.4","44.2","42.4","33.1","32.9","27.8","*","23.4","17.3","20","12.6","19.6","22.8","15.9","20.5"
"163","West Lothian","Don't know","-","0.2","0.2","0.5","-","-","-","-","*","-","-","-","-","-","-","1.2","-"
"164","West Lothian","All","100","100","100","100","100","100","100","100","*","100","100","100","100","100","100","100","100"
"165","West Lothian","Base","430","450","430","480","260","250","260","270","*","90","80","80","70","80","80","70","60"
