"","Year","Council","Frequency","Man / Boy","Woman / Girl","Identified in another way","Refused","16-39","40-64","65+","All"
"426","2015","South Lanarkshire","Once or more times a week","47.4","35.2","-","-","40.5","47","29.9","41"
"427","2015","Stirling","Once or more times a week","61","52.3","-","-","60.5","57.6","47.2","56.4"
"428","2015","West Dunbartonshire","Once or more times a week","39.6","40.9","-","-","47.9","37.8","33.6","40.3"
"429","2015","West Lothian","Once or more times a week","50.3","48.8","-","-","63.5","45.6","30.9","49.5"
"430","2015","Aberdeen City","At least once a month","26.6","12","-","-","26","15.8","7.9","19.2"
"431","2015","Aberdeenshire","At least once a month","18.3","12.5","-","-","12.8","15.9","17.9","15.4"
"432","2015","Angus","At least once a month","30.8","22.1","-","-","38.2","19.8","21.8","26.3"
"433","2015","Argyll & Bute","At least once a month","18.1","16.8","-","-","*","10.6","16.9","17.4"
"434","2015","Clackmannanshire","At least once a month","21.2","18.6","-","-","14","25.4","17.7","19.8"
"435","2015","Dumfries & Galloway","At least once a month","7.9","9.6","-","-","8.1","10.8","6.3","8.8"
"436","2015","Dundee City","At least once a month","18.4","28.2","-","-","28.4","19.9","19.1","23.5"
"437","2015","East Ayrshire","At least once a month","13","10.9","-","-","8.6","11.5","17.5","11.9"
"438","2015","East Dunbartonshire","At least once a month","27.3","19.6","-","-","*","18.6","21.3","23.2"
"439","2015","East Lothian","At least once a month","14","18","-","-","*","21.3","13","16.1"
"440","2015","East Renfrewshire","At least once a month","19","22.7","-","-","25.9","21.8","12.8","21"
"441","2015","Edinburgh, City of","At least once a month","27.1","23","-","-","27.5","24.9","18.9","25"
"442","2015","Falkirk","At least once a month","21.8","21.7","-","-","21.5","21.4","22.9","21.8"
"443","2015","Fife","At least once a month","22.5","18.5","-","-","22.9","23.9","10.7","20.4"
"444","2015","Glasgow City","At least once a month","24.1","23.5","-","-","26.5","23.6","16.3","23.8"
"445","2015","Highland","At least once a month","24","18.9","-","-","36.9","17.6","8.7","21.4"
"446","2015","Inverclyde","At least once a month","16","16.9","-","-","18.9","10.8","22.7","16.4"
"447","2015","Midlothian","At least once a month","22.8","25.4","-","-","*","35.6","14.6","24.1"
"448","2015","Moray","At least once a month","17.7","26.2","-","-","27.1","23","13.3","22"
"449","2015","Na h-Eileanan Siar","At least once a month","15.5","16.9","-","-","28.2","8.4","16.9","16.2"
"450","2015","North Ayrshire","At least once a month","24.2","8.1","-","-","22.9","14","9.4","15.6"
"451","2015","North Lanarkshire","At least once a month","23.1","26.3","-","-","23.6","29.7","16.6","24.8"
"452","2015","Orkney Islands","At least once a month","25","20.2","-","-","22.1","26.4","16.7","22.6"
"453","2015","Perth & Kinross","At least once a month","14.8","14.4","-","-","8.9","16.3","18.8","14.6"
"454","2015","Renfrewshire","At least once a month","17.1","26.4","-","-","19.4","23.5","23.4","22"
"455","2015","Scotland","At least once a month","21.1","19.7","-","-","23.2","20.5","15.4","20.4"
"456","2015","Scottish Borders","At least once a month","12","24.3","-","-","*","22.4","18.1","18.4"
"457","2015","Shetland Islands","At least once a month","8.8","19.2","-","-","14.4","10.1","20.4","13.9"
"458","2015","South Ayrshire","At least once a month","4.1","8.5","-","-","9.3","6.3","3.7","6.4"
"459","2015","South Lanarkshire","At least once a month","19.5","18.7","-","-","20.6","18","18.9","19.1"
"460","2015","Stirling","At least once a month","17.3","24.3","-","-","22.7","22.6","15","21"
"461","2015","West Dunbartonshire","At least once a month","25.8","16.6","-","-","24.5","23.5","9.9","20.9"
"462","2015","West Lothian","At least once a month","25.2","22.2","-","-","26.2","25.4","14.7","23.6"
"463","2015","Aberdeen City","At least once a year","17.7","12.7","-","-","14.8","14.2","18.1","15.2"
"464","2015","Aberdeenshire","At least once a year","9.1","11.8","-","-","7.8","12.5","9.7","10.5"
"465","2015","Angus","At least once a year","19.2","18.7","-","-","17.4","21.4","16.9","18.9"
"466","2015","Argyll & Bute","At least once a year","21","21.8","-","-","*","22.2","29.5","21.4"
"467","2015","Clackmannanshire","At least once a year","21.2","21.3","-","-","26","18.2","20.3","21.3"
"468","2015","Dumfries & Galloway","At least once a year","21.4","21.9","-","-","24.5","22.5","17.7","21.6"
"469","2015","Dundee City","At least once a year","21","12.1","-","-","16.1","15.3","18.6","16.3"
"470","2015","East Ayrshire","At least once a year","13.1","12.8","-","-","12.5","10.4","18.3","12.9"
"471","2015","East Dunbartonshire","At least once a year","7.1","14.5","-","-","*","15","15.5","11"
"472","2015","East Lothian","At least once a year","9.7","10.2","-","-","*","13.3","9.1","9.9"
"473","2015","East Renfrewshire","At least once a year","14","14.6","-","-","15.1","16.9","8.6","14.3"
"474","2015","Edinburgh, City of","At least once a year","14.4","21.8","-","-","16.1","17.2","25.7","18.2"
"475","2015","Falkirk","At least once a year","22.6","16.3","-","-","12.6","21.5","26.2","19.4"
"476","2015","Fife","At least once a year","18.9","21.2","-","-","20.7","16.3","25.7","20.1"
"477","2015","Glasgow City","At least once a year","22.2","19.5","-","-","19.2","22.7","21.6","20.8"
"478","2015","Highland","At least once a year","11","18","-","-","13.1","15.6","14.7","14.6"
"479","2015","Inverclyde","At least once a year","12.3","9.6","-","-","5.3","15","11.7","10.8"
"480","2015","Midlothian","At least once a year","13.5","14","-","-","*","13.2","29.2","13.7"
"481","2015","Moray","At least once a year","12.8","12.6","-","-","12.9","10.5","16.1","12.7"
"482","2015","Na h-Eileanan Siar","At least once a year","4.7","10.4","-","-","4.8","5.6","13.3","7.6"
"483","2015","North Ayrshire","At least once a year","14.8","12.7","-","-","11.3","15.1","14.1","13.7"
"484","2015","North Lanarkshire","At least once a year","23.9","26.6","-","-","27.8","23.3","25.1","25.3"
"485","2015","Orkney Islands","At least once a year","11.8","12.4","-","-","4.1","15.2","15.8","12.1"
"486","2015","Perth & Kinross","At least once a year","8.1","9.7","-","-","12.5","4.5","11.7","8.9"
"487","2015","Renfrewshire","At least once a year","16.7","11.1","-","-","20.6","10.8","8.3","13.8"
"488","2015","Scotland","At least once a year","16.7","18","-","-","16.4","17.1","19.5","17.4"
"489","2015","Scottish Borders","At least once a year","25.2","13","-","-","*","12.9","22.5","18.9"
"490","2015","Shetland Islands","At least once a year","11.3","10.3","-","-","9.6","11.7","10.8","10.8"
"491","2015","South Ayrshire","At least once a year","8.3","4.9","-","-","-","8.7","9.7","6.5"
"492","2015","South Lanarkshire","At least once a year","17.6","32.8","-","-","27.9","23","27","25.6"
"493","2015","Stirling","At least once a year","12.8","16.5","-","-","12.3","16.5","15.7","14.7"
"494","2015","West Dunbartonshire","At least once a year","19.8","19","-","-","19.4","18.1","21.9","19.4"
"495","2015","West Lothian","At least once a year","16.7","20.7","-","-","9.6","21.9","29.7","18.8"
"496","2015","Aberdeen City","Not at all","18.1","17.5","-","-","15.1","14.2","32.3","17.8"
"497","2015","Aberdeenshire","Not at all","10.9","12.7","-","-","12.9","5.4","24.2","11.8"
"498","2015","Angus","Not at all","7.9","13.1","-","-","1.2","11.5","20.7","10.6"
"499","2015","Argyll & Bute","Not at all","10.2","11.2","-","-","*","7.4","19","10.7"
"500","2015","Clackmannanshire","Not at all","8.9","7.7","-","-","3.9","8","15.4","8.3"
"501","2015","Dumfries & Galloway","Not at all","15.8","23.8","-","-","17.7","13","32.7","20"
"502","2015","Dundee City","Not at all","8.7","8.7","-","-","0.7","7.1","28.6","8.7"
"503","2015","East Ayrshire","Not at all","22.5","18.4","-","-","24.8","14.3","25.2","20.4"
"504","2015","East Dunbartonshire","Not at all","5.2","11","-","-","*","3.4","23.6","8.3"
"505","2015","East Lothian","Not at all","5.9","7.9","-","-","*","2.6","17.2","7"
"506","2015","East Renfrewshire","Not at all","8.7","10.8","-","-","8.6","4","21.9","9.8"
"507","2015","Edinburgh, City of","Not at all","7.5","8.2","-","-","3.5","7.9","19.1","7.9"
"508","2015","Falkirk","Not at all","6.1","11.3","-","-","2.4","8.8","19.2","8.8"
"509","2015","Fife","Not at all","14.6","16.1","-","-","12.7","16.8","16.8","15.4"
"510","2015","Glasgow City","Not at all","16.1","17.7","-","-","11.1","16.1","35.7","16.9"
"511","2015","Highland","Not at all","16.6","21.3","-","-","6.9","17.3","36.9","19"
"512","2015","Inverclyde","Not at all","6.8","15.6","-","-","7.2","10.3","19.9","11.5"
"513","2015","Midlothian","Not at all","15.8","13.8","-","-","*","9.7","28.1","14.7"
"514","2015","Moray","Not at all","19.5","23","-","-","13.1","19.6","35.3","21.3"
"515","2015","Na h-Eileanan Siar","Not at all","7.5","7.8","-","-","1.1","6.4","15.7","7.6"
"516","2015","North Ayrshire","Not at all","9.8","10.3","-","-","4.1","7.7","21.4","10.1"
"517","2015","North Lanarkshire","Not at all","14.8","14.9","-","-","5.6","13.4","34.9","14.9"
"518","2015","Orkney Islands","Not at all","6.8","14.1","-","-","9.3","4.2","22.4","10.5"
"519","2015","Perth & Kinross","Not at all","8.5","7.8","-","-","4.8","4.3","18.1","8.1"
"520","2015","Renfrewshire","Not at all","19.3","15","-","-","7.7","17.2","31.7","17"
"521","2015","Scotland","Not at all","12.8","14.4","-","-","8.9","11.4","25.7","13.6"
"522","2015","Scottish Borders","Not at all","12.3","11.6","-","-","*","8.9","15.8","11.9"
"523","2015","Shetland Islands","Not at all","14.7","17.6","-","-","11.7","15.1","24.6","16.1"
"524","2015","South Ayrshire","Not at all","20","32.8","-","-","42.6","15.7","27.7","26.7"
"525","2015","South Lanarkshire","Not at all","15.5","13.4","-","-","10.9","12","24.2","14.4"
"526","2015","Stirling","Not at all","8.9","6.9","-","-","4.4","3.3","22.1","7.9"
"527","2015","West Dunbartonshire","Not at all","14.8","23.5","-","-","8.2","20.7","34.6","19.5"
"528","2015","West Lothian","Not at all","7.8","8.4","-","-","0.7","7.1","24.6","8.1"
"529","2015","Aberdeen City","All","100","100","-","-","100","100","100","100"
"530","2015","Aberdeenshire","All","100","100","-","-","100","100","100","100"
"531","2015","Angus","All","100","100","-","-","100","100","100","100"
"532","2015","Argyll & Bute","All","100","100","-","-","100","100","100","100"
"533","2015","Clackmannanshire","All","100","100","-","-","100","100","100","100"
"534","2015","Dumfries & Galloway","All","100","100","-","-","100","100","100","100"
"535","2015","Dundee City","All","100","100","-","-","100","100","100","100"
"536","2015","East Ayrshire","All","100","100","-","-","100","100","100","100"
"537","2015","East Dunbartonshire","All","100","100","-","-","100","100","100","100"
"538","2015","East Lothian","All","100","100","-","-","100","100","100","100"
"539","2015","East Renfrewshire","All","100","100","-","-","100","100","100","100"
"540","2015","Edinburgh, City of","All","100","100","-","-","100","100","100","100"
"541","2015","Falkirk","All","100","100","-","-","100","100","100","100"
"542","2015","Fife","All","100","100","-","-","100","100","100","100"
"543","2015","Glasgow City","All","100","100","-","-","100","100","100","100"
"544","2015","Highland","All","100","100","-","-","100","100","100","100"
"545","2015","Inverclyde","All","100","100","-","-","100","100","100","100"
"546","2015","Midlothian","All","100","100","-","-","100","100","100","100"
"547","2015","Moray","All","100","100","-","-","100","100","100","100"
"548","2015","Na h-Eileanan Siar","All","100","100","-","-","100","100","100","100"
"549","2015","North Ayrshire","All","100","100","-","-","100","100","100","100"
"550","2015","North Lanarkshire","All","100","100","-","-","100","100","100","100"
"551","2015","Orkney Islands","All","100","100","-","-","100","100","100","100"
"552","2015","Perth & Kinross","All","100","100","-","-","100","100","100","100"
"553","2015","Renfrewshire","All","100","100","-","-","100","100","100","100"
"554","2015","Scotland","All","100","100","-","-","100","100","100","100"
"555","2015","Scottish Borders","All","100","100","-","-","100","100","100","100"
"556","2015","Shetland Islands","All","100","100","-","-","100","100","100","100"
"557","2015","South Ayrshire","All","100","100","-","-","100","100","100","100"
"558","2015","South Lanarkshire","All","100","100","-","-","100","100","100","100"
"559","2015","Stirling","All","100","100","-","-","100","100","100","100"
"560","2015","West Dunbartonshire","All","100","100","-","-","100","100","100","100"
"561","2015","West Lothian","All","100","100","-","-","100","100","100","100"
"562","2015","Aberdeen City","Base","140","150","-","-","100","100","80","280"
"563","2015","Aberdeenshire","Base","120","160","-","-","70","120","90","280"
"564","2015","Angus","Base","110","130","-","-","60","100","80","240"
"565","2015","Argyll & Bute","Base","110","140","-","-","50","100","100","250"
"566","2015","Clackmannanshire","Base","100","150","-","-","60","110","70","240"
"567","2015","Dumfries & Galloway","Base","90","140","-","-","60","90","90","230"
"568","2015","Dundee City","Base","120","130","-","-","100","80","70","240"
"569","2015","East Ayrshire","Base","100","120","-","-","60","90","70","220"
"570","2015","East Dunbartonshire","Base","100","130","-","-","50","100","80","240"
"571","2015","East Lothian","Base","90","130","-","-","40","100","70","210"
"572","2015","East Renfrewshire","Base","100","160","-","-","70","120","60","260"
"573","2015","Edinburgh, City of","Base","290","340","-","-","220","270","140","630"
"574","2015","Falkirk","Base","120","140","-","-","80","110","70","260"
"575","2015","Fife","Base","230","240","-","-","140","170","150","470"
"576","2015","Glasgow City","Base","370","440","-","-","320","320","170","810"
"577","2015","Highland","Base","130","170","-","-","70","120","110","300"
"578","2015","Inverclyde","Base","130","140","-","-","70","130","80","270"
"579","2015","Midlothian","Base","90","110","-","-","50","90","60","200"
"580","2015","Moray","Base","120","130","-","-","70","100","70","250"
"581","2015","Na h-Eileanan Siar","Base","130","150","-","-","50","130","90","280"
"582","2015","North Ayrshire","Base","110","130","-","-","70","110","60","240"
"583","2015","North Lanarkshire","Base","170","240","-","-","120","180","120","410"
"584","2015","Orkney Islands","Base","130","150","-","-","70","130","90","280"
"585","2015","Perth & Kinross","Base","110","130","-","-","60","100","80","240"
"586","2015","Renfrewshire","Base","130","160","-","-","80","120","80","290"
"587","2015","Scotland","Base","4240","5160","-","-","2640","3950","2820","9410"
"588","2015","Scottish Borders","Base","100","110","-","-","50","90","80","220"
"589","2015","Shetland Islands","Base","100","130","-","-","70","90","70","230"
"590","2015","South Ayrshire","Base","130","150","-","-","60","110","100","270"
"591","2015","South Lanarkshire","Base","170","210","-","-","110","150","120","390"
"592","2015","Stirling","Base","110","130","-","-","50","100","80","240"
"593","2015","West Dunbartonshire","Base","110","130","-","-","70","100","70","240"
"594","2015","West Lothian","Base","100","130","-","-","60","110","60","220"
"595","2016","Aberdeen City","Once or more times a week","67.3","49.9","-","-","66.5","52.7","47.3","58.5"
"596","2016","Aberdeenshire","Once or more times a week","62.4","50.8","-","-","63.7","58.1","42.4","56.5"
"597","2016","Angus","Once or more times a week","54.1","47.1","-","-","56.5","41.8","57.4","50.5"
"598","2016","Argyll & Bute","Once or more times a week","69.6","59.2","-","-","68.4","70.9","50.9","64.3"
"599","2016","Clackmannanshire","Once or more times a week","34.6","38.6","-","-","35.2","42.2","28.4","36.6"
"600","2016","Dumfries & Galloway","Once or more times a week","44.8","50.9","-","-","58.5","47.5","38.8","48"
"601","2016","Dundee City","Once or more times a week","46.3","51.9","-","-","57.9","42.5","41.3","49.2"
"602","2016","East Ayrshire","Once or more times a week","53.2","41.8","-","-","48","46.6","47.4","47.2"
"603","2016","East Dunbartonshire","Once or more times a week","53.2","52.8","-","-","72.1","50.1","34.6","53"
"604","2016","East Lothian","Once or more times a week","80","72.7","-","-","74","83.2","66.2","76.2"
"605","2016","East Renfrewshire","Once or more times a week","45.1","45.1","-","-","39.5","51.7","40.9","45.1"
"606","2016","Edinburgh, City of","Once or more times a week","55.7","60","-","-","60.2","57.4","53","58"
"607","2016","Falkirk","Once or more times a week","52.8","47.6","-","-","62","49.4","33","50.1"
"608","2016","Fife","Once or more times a week","54.6","48.8","-","-","54.1","51.1","49","51.6"
"609","2016","Glasgow City","Once or more times a week","34.6","36.2","-","-","40.4","33.5","26.1","35.5"
"610","2016","Highland","Once or more times a week","53.6","45.4","-","-","55.4","54","34.4","49.4"
"611","2016","Inverclyde","Once or more times a week","39.2","49.6","-","-","*","51.9","32.7","44.7"
"612","2016","Midlothian","Once or more times a week","65.8","57.7","-","-","69","62.1","48.4","61.5"
"613","2016","Moray","Once or more times a week","50.6","51.6","-","-","56.9","54.9","36.9","51.1"
"614","2016","Na h-Eileanan Siar","Once or more times a week","62","61.9","-","-","79.6","61.8","45.2","61.9"
"615","2016","North Ayrshire","Once or more times a week","54.7","47.2","-","-","64.3","47.2","40.4","50.7"
"616","2016","North Lanarkshire","Once or more times a week","30.5","29.2","-","-","31.2","32.3","22.1","29.8"
"617","2016","Orkney Islands","Once or more times a week","40.2","57.8","-","-","54.2","51.4","40.1","49.1"
"618","2016","Perth & Kinross","Once or more times a week","62","49.9","-","-","50.9","58.6","56.5","55.8"
"619","2016","Renfrewshire","Once or more times a week","53.4","53.8","-","-","55.3","60.8","37.3","53.6"
"620","2016","Scotland","Once or more times a week","49.8","47.3","-","-","52.6","49.2","40.3","48.5"
"621","2016","Scottish Borders","Once or more times a week","60.4","59.4","-","-","*","59.3","52.9","59.8"
"622","2016","Shetland Islands","Once or more times a week","48.4","63.6","-","-","58.4","61","42.8","55.9"
"623","2016","South Ayrshire","Once or more times a week","66.5","54.4","-","-","64.4","66","47.1","60.1"
"624","2016","South Lanarkshire","Once or more times a week","26.9","30.6","-","-","28.9","30.6","25.6","28.9"
"625","2016","Stirling","Once or more times a week","32.8","32.5","-","-","32","37.4","25.3","32.7"
"626","2016","West Dunbartonshire","Once or more times a week","43.7","36.9","-","-","45.7","42.1","27.1","40.1"
"627","2016","West Lothian","Once or more times a week","54.4","57.6","-","-","60.7","57.9","43.6","56.1"
"628","2016","Aberdeen City","At least once a month","11","13.9","-","-","14.2","14.3","4.5","12.5"
"629","2016","Aberdeenshire","At least once a month","16.5","13.6","-","-","13.9","18.8","9.4","15"
"630","2016","Angus","At least once a month","20.3","21.9","-","-","19.5","28.8","11.1","21.2"
"631","2016","Argyll & Bute","At least once a month","13.8","9.1","-","-","15.3","8.6","11.3","11.4"
"632","2016","Clackmannanshire","At least once a month","36.3","26.3","-","-","32.5","33.7","24.6","31.2"
"633","2016","Dumfries & Galloway","At least once a month","13.5","11.9","-","-","9.3","15","12.3","12.6"
"634","2016","Dundee City","At least once a month","29.3","17.7","-","-","22","24.6","23.7","23.2"
"635","2016","East Ayrshire","At least once a month","12.9","21.7","-","-","23.7","16.2","11.3","17.5"
"636","2016","East Dunbartonshire","At least once a month","22.9","16.2","-","-","13.2","21.5","23.3","19.4"
"637","2016","East Lothian","At least once a month","7.1","10.8","-","-","11.3","8","8","9.1"
"638","2016","East Renfrewshire","At least once a month","28","15.8","-","-","23.4","20.7","20.4","21.5"
"639","2016","Edinburgh, City of","At least once a month","28.2","20","-","-","27.3","23.1","16.4","23.9"
"640","2016","Falkirk","At least once a month","16.5","23.8","-","-","22.7","19.8","17.2","20.2"
"641","2016","Fife","At least once a month","20.3","16.4","-","-","17.9","21.5","13.2","18.3"
"642","2016","Glasgow City","At least once a month","25.8","28.6","-","-","31.1","26.3","18.6","27.3"
"643","2016","Highland","At least once a month","13","14.3","-","-","16.6","13.5","10.6","13.7"
"644","2016","Inverclyde","At least once a month","22.7","14.8","-","-","*","15.9","12.6","18.5"
"645","2016","Midlothian","At least once a month","15.2","24.1","-","-","23.2","19.1","16.1","19.9"
"646","2016","Moray","At least once a month","17.4","15.7","-","-","15.1","19.9","12.8","16.5"
"647","2016","Na h-Eileanan Siar","At least once a month","14.2","13.4","-","-","7.1","16.9","15.6","13.8"
"648","2016","North Ayrshire","At least once a month","15","23.2","-","-","20.4","22.9","12.2","19.3"
"649","2016","North Lanarkshire","At least once a month","25.4","22.5","-","-","29.8","23.9","13.6","23.9"
"650","2016","Orkney Islands","At least once a month","14.5","10.2","-","-","15.3","15.4","4.2","12.3"
"651","2016","Perth & Kinross","At least once a month","13","24.5","-","-","17.8","19.8","18.6","18.9"
"652","2016","Renfrewshire","At least once a month","16.7","15.8","-","-","21.7","9.8","19.9","16.2"
"653","2016","Scotland","At least once a month","20.7","19.7","-","-","23.4","20.5","14.6","20.2"
"654","2016","Scottish Borders","At least once a month","17.9","13.8","-","-","*","18.1","13.2","15.8"
"655","2016","Shetland Islands","At least once a month","15.9","10.6","-","-","17.1","12.6","9.1","13.3"
"656","2016","South Ayrshire","At least once a month","10.7","5.6","-","-","8","7.5","8.6","8"
"657","2016","South Lanarkshire","At least once a month","29.3","27.7","-","-","37.6","27.2","16.6","28.5"
"658","2016","Stirling","At least once a month","37.9","36.8","-","-","44.6","36.2","26.8","37.3"
"659","2016","West Dunbartonshire","At least once a month","16.6","19.2","-","-","19","18.1","16.1","18"
"660","2016","West Lothian","At least once a month","20.6","20.9","-","-","26.6","20.1","11.4","20.8"
"661","2016","Aberdeen City","At least once a year","7.8","15.8","-","-","10.3","14.8","10.4","11.8"
"662","2016","Aberdeenshire","At least once a year","11.7","12.9","-","-","10.7","10.4","18.5","12.3"
"663","2016","Angus","At least once a year","20.2","20","-","-","22.5","20.6","16.7","20.1"
"664","2016","Argyll & Bute","At least once a year","12.2","18.3","-","-","8.8","17.5","18.9","15.3"
"665","2016","Clackmannanshire","At least once a year","22.5","26.2","-","-","28.3","16.2","33.8","24.4"
"666","2016","Dumfries & Galloway","At least once a year","24","28.1","-","-","28.9","23","28.3","26.2"
"667","2016","Dundee City","At least once a year","13.5","19.7","-","-","15.2","21.7","12.1","16.8"
"668","2016","East Ayrshire","At least once a year","12.9","20.8","-","-","7","24.4","17.4","17"
"669","2016","East Dunbartonshire","At least once a year","13","18.9","-","-","11.1","19.9","15.8","16.1"
"670","2016","East Lothian","At least once a year","5.6","10.2","-","-","7.8","6.8","10.6","8"
"671","2016","East Renfrewshire","At least once a year","18.9","17.2","-","-","22","12.2","23","18"
"672","2016","Edinburgh, City of","At least once a year","10.8","14.3","-","-","10.3","13.1","18","12.6"
"673","2016","Falkirk","At least once a year","18.1","15.4","-","-","10.3","19.2","21.9","16.7"
"674","2016","Fife","At least once a year","12.8","22.4","-","-","20.3","16.4","16.8","17.8"
"675","2016","Glasgow City","At least once a year","19.7","21.4","-","-","17.3","25.3","19","20.6"
"676","2016","Highland","At least once a year","10.4","18.3","-","-","12.7","18.4","9.8","14.5"
"677","2016","Inverclyde","At least once a year","18.7","12.9","-","-","*","16.1","13.2","15.7"
"678","2016","Midlothian","At least once a year","11.1","10.5","-","-","6.2","14.7","11.4","10.8"
"679","2016","Moray","At least once a year","19.5","20.5","-","-","19.2","16.8","26.3","20"
"680","2016","Na h-Eileanan Siar","At least once a year","11","10.6","-","-","6.3","10","16.4","10.8"
"681","2016","North Ayrshire","At least once a year","20.2","13.3","-","-","13.8","19.5","14.9","16.6"
"682","2016","North Lanarkshire","At least once a year","26.7","32.5","-","-","27.4","29.5","34.4","29.8"
"683","2016","Orkney Islands","At least once a year","16.4","15.6","-","-","17.9","15.8","14.4","16"
"684","2016","Perth & Kinross","At least once a year","19.3","18.7","-","-","28.2","15.3","14.9","19"
"685","2016","Renfrewshire","At least once a year","15.2","19.7","-","-","16.8","17.2","19.5","17.6"
"686","2016","Scotland","At least once a year","16.4","19.6","-","-","16.1","19","19.5","18"
"687","2016","Scottish Borders","At least once a year","11","13.8","-","-","*","11.3","12.7","12.5"
"688","2016","Shetland Islands","At least once a year","14.1","12.1","-","-","11.4","9.7","21.8","13.1"
"689","2016","South Ayrshire","At least once a year","5.2","19.7","-","-","8.8","9.5","21.9","12.9"
"690","2016","South Lanarkshire","At least once a year","31.6","30.2","-","-","27.4","33","32.2","30.8"
"691","2016","Stirling","At least once a year","15.3","15.7","-","-","13.9","16.7","16","15.5"
"692","2016","West Dunbartonshire","At least once a year","17.3","23.4","-","-","16.8","23.3","21.1","20.5"
"693","2016","West Lothian","At least once a year","17.1","15.1","-","-","12.8","14.6","25.4","16.1"
"694","2016","Aberdeen City","Not at all","14","20.4","-","-","9.1","18.2","37.7","17.2"
"695","2016","Aberdeenshire","Not at all","9.5","22.7","-","-","11.8","12.7","29.7","16.2"
"696","2016","Angus","Not at all","5.4","10.9","-","-","1.5","8.8","14.8","8.2"
"697","2016","Argyll & Bute","Not at all","4.5","13.4","-","-","7.6","3","18.8","9"
"698","2016","Clackmannanshire","Not at all","6.6","8.9","-","-","4","7.9","13.2","7.8"
"699","2016","Dumfries & Galloway","Not at all","17.7","9.1","-","-","3.3","14.5","20.6","13.2"
"700","2016","Dundee City","Not at all","11","10.7","-","-","4.9","11.2","22.9","10.8"
"701","2016","East Ayrshire","Not at all","20.9","15.8","-","-","21.3","12.9","23.9","18.3"
"702","2016","East Dunbartonshire","Not at all","10.9","12.2","-","-","3.6","8.4","26.3","11.6"
"703","2016","East Lothian","Not at all","7.3","6.3","-","-","6.9","2","15.2","6.8"
"704","2016","East Renfrewshire","Not at all","8","21.9","-","-","15.1","15.4","15.8","15.4"
"705","2016","Edinburgh, City of","Not at all","5.3","5.7","-","-","2.2","6.3","12.6","5.5"
"706","2016","Falkirk","Not at all","12.6","13.2","-","-","5","11.5","27.9","12.9"
"707","2016","Fife","Not at all","12.2","12.5","-","-","7.8","11.1","21","12.3"
"708","2016","Glasgow City","Not at all","19.8","13.8","-","-","11.2","14.9","36.3","16.7"
"709","2016","Highland","Not at all","23","21.9","-","-","15.3","14.1","45.2","22.5"
"710","2016","Inverclyde","Not at all","19.4","22.7","-","-","*","16.1","41.4","21.1"
"711","2016","Midlothian","Not at all","7.9","7.6","-","-","1.7","4.2","24.1","7.8"
"712","2016","Moray","Not at all","12.5","12.2","-","-","8.8","8.4","23.9","12.4"
"713","2016","Na h-Eileanan Siar","Not at all","12.8","14.2","-","-","7.1","11.3","22.8","13.5"
"714","2016","North Ayrshire","Not at all","10","16.4","-","-","1.4","10.5","32.5","13.4"
"715","2016","North Lanarkshire","Not at all","17.3","15.8","-","-","11.6","14.2","29.8","16.5"
"716","2016","Orkney Islands","Not at all","28.9","16.4","-","-","12.7","17.4","41.4","22.6"
"717","2016","Perth & Kinross","Not at all","5.7","6.9","-","-","3","6.3","10","6.3"
"718","2016","Renfrewshire","Not at all","14.6","10.7","-","-","6.2","12.2","23.3","12.6"
"719","2016","Scotland","Not at all","13.1","13.4","-","-","7.9","11.4","25.6","13.3"
"720","2016","Scottish Borders","Not at all","10.7","13","-","-","*","11.3","21.2","11.9"
"721","2016","Shetland Islands","Not at all","21.6","13.8","-","-","13.1","16.7","26.3","17.7"
"722","2016","South Ayrshire","Not at all","17.6","20.3","-","-","18.8","16.9","22.4","19"
"723","2016","South Lanarkshire","Not at all","12.2","11.5","-","-","6.2","9.2","25.6","11.8"
"724","2016","Stirling","Not at all","14.1","15","-","-","9.4","9.8","31.9","14.6"
"725","2016","West Dunbartonshire","Not at all","22.4","20.5","-","-","18.5","16.5","35.6","21.4"
"726","2016","West Lothian","Not at all","7.9","6.3","-","-","-","7.4","19.5","7.1"
"727","2016","Aberdeen City","All","100","100","-","-","100","100","100","100"
"728","2016","Aberdeenshire","All","100","100","-","-","100","100","100","100"
"729","2016","Angus","All","100","100","-","-","100","100","100","100"
"730","2016","Argyll & Bute","All","100","100","-","-","100","100","100","100"
"731","2016","Clackmannanshire","All","100","100","-","-","100","100","100","100"
"732","2016","Dumfries & Galloway","All","100","100","-","-","100","100","100","100"
"733","2016","Dundee City","All","100","100","-","-","100","100","100","100"
"734","2016","East Ayrshire","All","100","100","-","-","100","100","100","100"
"735","2016","East Dunbartonshire","All","100","100","-","-","100","100","100","100"
"736","2016","East Lothian","All","100","100","-","-","100","100","100","100"
"737","2016","East Renfrewshire","All","100","100","-","-","100","100","100","100"
"738","2016","Edinburgh, City of","All","100","100","-","-","100","100","100","100"
"739","2016","Falkirk","All","100","100","-","-","100","100","100","100"
"740","2016","Fife","All","100","100","-","-","100","100","100","100"
"741","2016","Glasgow City","All","100","100","-","-","100","100","100","100"
"742","2016","Highland","All","100","100","-","-","100","100","100","100"
"743","2016","Inverclyde","All","100","100","-","-","100","100","100","100"
"744","2016","Midlothian","All","100","100","-","-","100","100","100","100"
"745","2016","Moray","All","100","100","-","-","100","100","100","100"
