"","Council","Rating","1999/2000","2001/2002","2003/2004","2005/2006","2007/2008","2009/2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"209","Scottish Borders","Very/fairly good","95.3","97.1","95.4","95.2","94.9","97.4","*","97.5","96.4","98.1","95","94.2","97.3","97.2","97.1"
"210","Scottish Borders","Very good","65.5","64.7","62.2","66.8","62.4","66.7","*","71.9","70.5","64.6","62.9","64.2","58.7","65","57.7"
"211","Scottish Borders","Fairly good","29.8","32.4","33.2","28.4","32.5","30.7","*","25.5","25.9","33.5","32.1","29.9","38.7","32.2","39.3"
"212","Scottish Borders","Fairly poor","3.7","2.2","3.3","4","3.6","1.5","*","2.2","2.7","1.2","3.3","3.3","1.5","1.8","1.6"
"213","Scottish Borders","Very poor","0.7","0.5","1.3","0.5","1.2","0.9","*","0.3","0.9","0.7","0.9","1.7","0.8","0.9","0.7"
"214","Scottish Borders","No opinion","0.3","0.2","-","0.2","0.3","0.2","*","-","-","-","0.8","0.8","0.4","-","0.6"
"215","Scottish Borders","All","100","100","100","100","100","100","*","100","100","100","100","100","100","100","100"
"216","Scottish Borders","Base","570","610","630","600","430","540","*","240","250","250","220","230","220","230","240"
"217","Shetland Islands","Very/fairly good","97","97.6","96.9","97.4","99.5","97.6","*","97.5","97.6","98.3","98.2","97.6","99.5","98.4","97.7"
"218","Shetland Islands","Very good","65.1","60.9","65.4","72.8","77.6","79.6","*","70.7","77.8","74.6","76.1","74.8","82.9","75.1","74.2"
"219","Shetland Islands","Fairly good","31.9","36.7","31.5","24.6","21.9","18","*","26.8","19.8","23.7","22.1","22.8","16.6","23.4","23.5"
"220","Shetland Islands","Fairly poor","2.1","1.8","1.6","1.6","0.5","1.5","*","1.3","1.7","0.7","0.4","0.8","0.5","1.6","1.8"
"221","Shetland Islands","Very poor","0.6","0.6","0.8","0.7","-","0.6","*","1.3","0.6","1","0.9","1.6","-","-","0.3"
"222","Shetland Islands","No opinion","0.3","-","0.8","0.2","-","0.3","*","-","0.2","-","0.5","-","-","-","0.2"
"223","Shetland Islands","All","100","100","100","100","100","100","*","100","100","100","100","100","100","100","100"
"224","Shetland Islands","Base","520","610","640","580","320","410","*","280","260","260","230","260","250","230","220"
"225","South Ayrshire","Very/fairly good","93.7","94.7","94.9","94.6","96.5","94.1","*","96.7","94.6","93","97.3","94.3","97.3","92.9","94.5"
"226","South Ayrshire","Very good","52.7","55.2","63.6","62.9","60.5","60.6","*","63","57.3","60.9","73.1","63.4","63.6","62.2","62.5"
"227","South Ayrshire","Fairly good","40.9","39.6","31.4","31.6","36.1","33.5","*","33.6","37.2","32.1","24.2","30.9","33.7","30.7","32"
"228","South Ayrshire","Fairly poor","5.4","2.6","4","3.4","2.3","3.8","*","1.9","4.4","7","2.1","5.5","1.6","5.5","3.5"
"229","South Ayrshire","Very poor","0.8","2.5","1.1","2","1.2","2.1","*","1.4","0.8","-","0.6","0.2","1","1.2","2.1"
"230","South Ayrshire","No opinion","0.1","0.2","-","0.1","-","-","*","-","0.2","-","-","-","-","0.4","-"
"231","South Ayrshire","All","100","100","100","100","100","100","*","100","100","100","100","100","100","100","100"
"232","South Ayrshire","Base","640","650","590","580","400","540","*","250","250","250","270","250","260","220","260"
"233","South Lanarkshire","Very/fairly good","93.3","92.1","91.8","93","92.6","93.8","*","94.3","93.1","94.4","94.5","93.9","94.6","94.4","93.6"
"234","South Lanarkshire","Very good","52","48.7","46.7","48","45.2","54.7","*","49.4","51.5","55.9","56.9","48.5","53.7","55.2","56.8"
"235","South Lanarkshire","Fairly good","41.3","43.4","45.1","44.9","47.4","39.2","*","44.9","41.6","38.5","37.6","45.4","40.9","39.2","36.8"
"236","South Lanarkshire","Fairly poor","4.4","4.9","5.1","5.2","5","4.6","*","4.1","2.8","2.7","5","2.7","3.8","2.8","4.8"
"237","South Lanarkshire","Very poor","2.1","2.6","2.9","1.7","2.2","1.4","*","1.6","3.4","2.4","0.6","3.1","1.4","2.3","1.3"
"238","South Lanarkshire","No opinion","0.2","0.5","0.3","0.1","0.2","0.2","*","-","0.8","0.5","-","0.3","0.1","0.4","0.3"
"239","South Lanarkshire","All","100","100","100","100","100","100","*","100","100","100","100","100","100","100","100"
"240","South Lanarkshire","Base","1500","1530","1500","1490","880","1220","*","420","420","410","390","400","430","380","420"
"241","Stirling","Very/fairly good","94","92.7","93.4","94.6","93.5","94.7","*","97.1","96.7","95.3","97.4","95.4","97","97.6","97.1"
"242","Stirling","Very good","53.5","61.2","61.8","54.1","64.6","62.9","*","63.5","66.6","61.8","70.5","60.4","68.7","64","73.2"
"243","Stirling","Fairly good","40.4","31.5","31.6","40.5","28.9","31.8","*","33.6","30.1","33.4","26.9","35","28.3","33.6","23.9"
"244","Stirling","Fairly poor","4.6","6","5.3","3.6","6","3.2","*","1.9","3","3.2","2.3","4.6","1.9","2.3","1.5"
"245","Stirling","Very poor","1","1","0.8","1.2","0.3","2.1","*","0.8","0.3","1.5","0.3","-","1.1","0.2","1.5"
"246","Stirling","No opinion","0.3","0.2","0.5","0.6","0.1","-","*","0.3","-","-","-","-","-","-","-"
"247","Stirling","All","100","100","100","100","100","100","*","100","100","100","100","100","100","100","100"
"248","Stirling","Base","580","570","550","610","400","520","*","250","240","250","240","260","280","230","210"
"249","West Dunbartonshire","Very/fairly good","87","88","83.3","87.1","90.3","89.8","*","89.5","93.4","93.9","90.8","90.7","88.7","87.7","84.6"
"250","West Dunbartonshire","Very good","34.3","35.6","36.3","41","42.8","41.8","*","43.8","45.5","46.4","44","49.5","47.7","39.2","47.1"
"251","West Dunbartonshire","Fairly good","52.7","52.4","47","46.1","47.4","48","*","45.6","47.9","47.5","46.7","41.3","41","48.5","37.4"
"252","West Dunbartonshire","Fairly poor","8.5","7.7","9.3","6.9","5.9","6.5","*","6.3","3.9","2.8","7.2","6.8","8.6","7.6","8.9"
"253","West Dunbartonshire","Very poor","3.8","4.2","6.7","5.5","3.1","3.4","*","4.3","2.4","3","2.1","2.3","1.7","4.7","6.2"
"254","West Dunbartonshire","No opinion","0.7","0.1","0.7","0.5","0.7","0.3","*","-","0.3","0.3","-","0.2","1.1","-","0.3"
"255","West Dunbartonshire","All","100","100","100","100","100","100","*","100","100","100","100","100","100","100","100"
"256","West Dunbartonshire","Base","500","500","460","480","400","430","*","260","270","280","240","290","250","230","240"
"257","West Lothian","Very/fairly good","91.2","93.6","91.8","93.1","93","94","*","91.4","96.2","96","96.8","95.3","95.7","94.3","92"
"258","West Lothian","Very good","44.2","44","51.7","48.2","46.6","53.9","*","49","52.2","60.8","51.4","58.4","45.4","50.5","51"
"259","West Lothian","Fairly good","47","49.6","40.1","44.9","46.4","40.1","*","42.4","44","35.2","45.4","36.9","50.3","43.8","41"
"260","West Lothian","Fairly poor","5.8","3.8","4.7","4.2","4","3.6","*","4.8","3.2","1.1","3","4.3","3.4","5","5.4"
"261","West Lothian","Very poor","2.6","2.1","3.2","2.5","2.2","1.7","*","2.2","0.6","1.5","0.2","0.5","0.9","-","2.2"
"262","West Lothian","No opinion","0.3","0.4","0.3","0.1","0.8","0.7","*","1.6","-","1.4","-","-","-","0.6","0.4"
"263","West Lothian","All","100","100","100","100","100","100","*","100","100","100","100","100","100","100","100"
"264","West Lothian","Base","740","730","810","790","430","590","*","250","250","200","220","240","280","240","230"
