"","Year","Council","Walking distance","1 - 20% most deprived","2","3","4","5 - 20% least deprived","All"
"1254","2019","West Lothian","6-10 minutes","*","17.4","*","*","*","15.1"
"1255","2019","Aberdeen City","11 minute walk or more","*","27.8","31.5","37","16.9","25.8"
"1256","2019","Aberdeenshire","11 minute walk or more","*","*","35.2","23.9","12.4","22"
"1257","2019","Angus","11 minute walk or more","*","6.4","16.3","20.2","*","14.2"
"1258","2019","Argyll & Bute","11 minute walk or more","*","*","9.9","23.3","*","14.9"
"1259","2019","Clackmannanshire","11 minute walk or more","7.9","8.9","*","*","*","6"
"1260","2019","Dumfries & Galloway","11 minute walk or more","*","10.3","5.2","6.4","*","6.1"
"1261","2019","Dundee City","11 minute walk or more","13.8","11.8","*","*","*","15"
"1262","2019","East Ayrshire","11 minute walk or more","5.6","6.8","*","*","*","9.4"
"1263","2019","East Dunbartonshire","11 minute walk or more","*","13.8","*","13.1","16.1","15.4"
"1264","2019","East Lothian","11 minute walk or more","*","3.5","7","12.5","*","6.3"
"1265","2019","East Renfrewshire","11 minute walk or more","*","*","*","*","19.6","15.5"
"1266","2019","Edinburgh, City of","11 minute walk or more","5.3","11.2","7.1","8.9","10.6","9.4"
"1267","2019","Falkirk","11 minute walk or more","*","13.1","5.6","*","*","8.2"
"1268","2019","Fife","11 minute walk or more","6.4","3.6","4.6","5.8","7.1","5.6"
"1269","2019","Glasgow City","11 minute walk or more","17.1","11.1","16.4","16.4","14.6","15.6"
"1270","2019","Highland","11 minute walk or more","*","14","13","14.7","*","12.5"
"1271","2019","Inverclyde","11 minute walk or more","20.5","*","*","*","*","17.7"
"1272","2019","Midlothian","11 minute walk or more","*","4.5","3.4","16.6","*","8.3"
"1273","2019","Moray","11 minute walk or more","*","*","13","14.3","*","12"
"1274","2019","Na h-Eileanan Siar","11 minute walk or more","-","*","1.1","-","-","0.9"
"1275","2019","North Ayrshire","11 minute walk or more","7.6","*","*","*","*","9.9"
"1276","2019","North Lanarkshire","11 minute walk or more","12.3","19","18.3","21.9","*","16.9"
"1277","2019","Orkney Islands","11 minute walk or more","-","*","29.3","43.5","*","33.7"
"1278","2019","Perth & Kinross","11 minute walk or more","*","*","*","20.6","14.2","19.1"
"1279","2019","Renfrewshire","11 minute walk or more","12.8","*","*","*","11.4","14.9"
"1280","2019","Scotland","11 minute walk or more","12.7","11.3","12.9","15","12.6","12.9"
"1281","2019","Scottish Borders","11 minute walk or more","*","*","5.7","5.2","*","5"
"1282","2019","Shetland Islands","11 minute walk or more","-","*","7.5","4.9","-","7.8"
"1283","2019","South Ayrshire","11 minute walk or more","*","9.2","10","*","*","8.1"
"1284","2019","South Lanarkshire","11 minute walk or more","15.9","14.6","17.7","18.7","19.3","17"
"1285","2019","Stirling","11 minute walk or more","*","*","*","1.5","6.4","3.3"
"1286","2019","West Dunbartonshire","11 minute walk or more","19.4","21.4","*","*","*","17"
"1287","2019","West Lothian","11 minute walk or more","*","3.8","*","*","*","3.4"
"1288","2019","Aberdeen City","Don't know","*","-","3.4","1.3","1.5","1.5"
"1289","2019","Aberdeenshire","Don't know","*","*","-","2","-","0.8"
"1290","2019","Angus","Don't know","*","6.4","1.2","1.6","*","2.4"
"1291","2019","Argyll & Bute","Don't know","*","*","13.3","1.6","*","7.6"
"1292","2019","Clackmannanshire","Don't know","-","0.9","*","*","*","0.2"
"1293","2019","Dumfries & Galloway","Don't know","*","-","0.4","-","*","0.2"
"1294","2019","Dundee City","Don't know","3.3","2.3","*","*","*","4"
"1295","2019","East Ayrshire","Don't know","0.5","1.4","*","*","*","1"
"1296","2019","East Dunbartonshire","Don't know","*","2.2","*","4.8","3","3.3"
"1297","2019","East Lothian","Don't know","*","-","-","-","*","-"
"1298","2019","East Renfrewshire","Don't know","*","*","*","*","-","0.6"
"1299","2019","Edinburgh, City of","Don't know","-","-","1.3","-","0.3","0.3"
"1300","2019","Falkirk","Don't know","*","4.9","6.3","*","*","2.7"
"1301","2019","Fife","Don't know","-","-","-","-","-","-"
"1302","2019","Glasgow City","Don't know","4","2.9","2.8","2.3","5.1","3.6"
"1303","2019","Highland","Don't know","*","2.5","0.5","-","*","1.7"
"1304","2019","Inverclyde","Don't know","0.4","*","*","*","*","1.9"
"1305","2019","Midlothian","Don't know","*","-","-","-","*","-"
"1306","2019","Moray","Don't know","*","*","-","2.8","*","0.9"
"1307","2019","Na h-Eileanan Siar","Don't know","-","*","-","-","-","-"
"1308","2019","North Ayrshire","Don't know","2.1","*","*","*","*","1.3"
"1309","2019","North Lanarkshire","Don't know","1","3.5","2.7","6","*","2.6"
"1310","2019","Orkney Islands","Don't know","-","*","-","-","*","0.4"
"1311","2019","Perth & Kinross","Don't know","*","*","*","3.1","-","1"
"1312","2019","Renfrewshire","Don't know","1.4","*","*","*","1","1.7"
"1313","2019","Scotland","Don't know","2","1.8","2","1.4","1","1.6"
"1314","2019","Scottish Borders","Don't know","*","*","0.8","0.6","*","0.5"
"1315","2019","Shetland Islands","Don't know","-","*","2","1.7","-","1.7"
"1316","2019","South Ayrshire","Don't know","*","1","-","*","*","0.7"
"1317","2019","South Lanarkshire","Don't know","0.5","2.9","1.5","-","2.5","1.6"
"1318","2019","Stirling","Don't know","*","*","*","1.3","0.5","0.6"
"1319","2019","West Dunbartonshire","Don't know","2.3","2.9","*","*","*","4.3"
"1320","2019","West Lothian","Don't know","*","2.6","*","*","*","0.8"
"1321","2019","Aberdeen City","All","100","100","100","100","100","100"
"1322","2019","Aberdeenshire","All","100","100","100","100","100","100"
"1323","2019","Angus","All","100","100","100","100","100","100"
"1324","2019","Argyll & Bute","All","100","100","100","100","100","100"
"1325","2019","Clackmannanshire","All","100","100","100","100","100","100"
"1326","2019","Dumfries & Galloway","All","100","100","100","100","100","100"
"1327","2019","Dundee City","All","100","100","100","100","100","100"
"1328","2019","East Ayrshire","All","100","100","100","100","100","100"
"1329","2019","East Dunbartonshire","All","100","100","100","100","100","100"
"1330","2019","East Lothian","All","100","100","100","100","100","100"
"1331","2019","East Renfrewshire","All","100","100","100","100","100","100"
"1332","2019","Edinburgh, City of","All","100","100","100","100","100","100"
"1333","2019","Falkirk","All","100","100","100","100","100","100"
"1334","2019","Fife","All","100","100","100","100","100","100"
"1335","2019","Glasgow City","All","100","100","100","100","100","100"
"1336","2019","Highland","All","100","100","100","100","100","100"
"1337","2019","Inverclyde","All","100","100","100","100","100","100"
"1338","2019","Midlothian","All","100","100","100","100","100","100"
"1339","2019","Moray","All","100","100","100","100","100","100"
"1340","2019","Na h-Eileanan Siar","All","-","100","100","-","-","100"
"1341","2019","North Ayrshire","All","100","100","100","100","100","100"
"1342","2019","North Lanarkshire","All","100","100","100","100","100","100"
"1343","2019","Orkney Islands","All","-","100","100","100","100","100"
"1344","2019","Perth & Kinross","All","100","100","100","100","100","100"
"1345","2019","Renfrewshire","All","100","100","100","100","100","100"
"1346","2019","Scotland","All","100","100","100","100","100","100"
"1347","2019","Scottish Borders","All","100","100","100","100","100","100"
"1348","2019","Shetland Islands","All","-","100","100","100","-","100"
"1349","2019","South Ayrshire","All","100","100","100","100","100","100"
"1350","2019","South Lanarkshire","All","100","100","100","100","100","100"
"1351","2019","Stirling","All","100","100","100","100","100","100"
"1352","2019","West Dunbartonshire","All","100","100","100","100","100","100"
"1353","2019","West Lothian","All","100","100","100","100","100","100"
"1354","2019","Aberdeen City","Base","30","70","50","50","100","300"
"1355","2019","Aberdeenshire","Base","10","30","70","130","100","340"
"1356","2019","Angus","Base","20","60","70","60","30","230"
"1357","2019","Argyll & Bute","Base","20","50","100","60","10","240"
"1358","2019","Clackmannanshire","Base","60","60","40","20","40","210"
"1359","2019","Dumfries & Galloway","Base","20","60","100","60","20","260"
"1360","2019","Dundee City","Base","80","50","30","30","30","220"
"1361","2019","East Ayrshire","Base","80","60","50","40","20","260"
"1362","2019","East Dunbartonshire","Base","10","50","10","60","130","260"
"1363","2019","East Lothian","Base","20","90","60","60","50","270"
"1364","2019","East Renfrewshire","Base","10","30","30","40","120","240"
"1365","2019","Edinburgh, City of","Base","90","120","120","150","360","840"
"1366","2019","Falkirk","Base","40","60","60","40","40","220"
"1367","2019","Fife","Base","100","100","90","90","90","480"
"1368","2019","Glasgow City","Base","410","140","120","90","100","850"
"1369","2019","Highland","Base","30","60","110","110","20","330"
"1370","2019","Inverclyde","Base","110","40","30","30","30","240"
"1371","2019","Midlothian","Base","30","110","60","50","40","280"
"1372","2019","Moray","Base","0","30","90","80","30","230"
"1373","2019","Na h-Eileanan Siar","Base","-","40","230","-","-","280"
"1374","2019","North Ayrshire","Base","90","40","40","30","30","230"
"1375","2019","North Lanarkshire","Base","170","130","60","60","40","460"
"1376","2019","Orkney Islands","Base","-","40","50","150","10","250"
"1377","2019","Perth & Kinross","Base","10","30","40","70","50","200"
"1378","2019","Renfrewshire","Base","60","50","50","40","50","250"
"1379","2019","Scotland","Base","1830","1980","2150","2020","1800","9780"
"1380","2019","Scottish Borders","Base","10","40","90","70","20","240"
"1381","2019","Shetland Islands","Base","-","10","70","130","-","220"
"1382","2019","South Ayrshire","Base","40","70","60","40","50","260"
"1383","2019","South Lanarkshire","Base","100","110","70","80","60","420"
"1384","2019","Stirling","Base","20","30","20","70","70","210"
"1385","2019","West Dunbartonshire","Base","100","60","40","20","10","240"
"1386","2019","West Lothian","Base","40","70","40","40","40","230"
