"","Year","Council","Rating","20% most deprived","2","3","4","20% least deprived","All"
"82","2012","Highland","Fairly good","*","39.4","28.3","23.6","*","29.1"
"83","2012","Inverclyde","Fairly good","63","*","*","*","*","44.1"
"84","2012","Midlothian","Fairly good","*","69.2","55.9","*","*","53.9"
"85","2012","Moray","Fairly good","*","*","38","25.9","*","32.9"
"86","2012","Na-h Eileanan Siar","Fairly good","-","19.8","21.3","*","-","21.1"
"87","2012","North Ayrshire","Fairly good","57.5","50.8","*","34.1","*","43.8"
"88","2012","North Lanarkshire","Fairly good","59.4","44.3","35.1","*","*","42.4"
"89","2012","Orkney Islands","Fairly good","-","16.7","*","19.4","*","18"
"90","2012","Perth & Kinross","Fairly good","*","*","*","20.6","9.3","29.5"
"91","2012","Renfrewshire","Fairly good","55.5","32.3","41.7","*","21.7","38.2"
"92","2012","Scotland","Fairly good","54.3","50.2","36.5","29.8","21.6","38.5"
"93","2012","Scottish Borders","Fairly good","*","*","21.1","22.6","*","25.5"
"94","2012","Shetland Islands","Fairly good","-","*","30","23.9","*","26.8"
"95","2012","South Ayrshire","Fairly good","*","42.1","37.7","*","11.5","33.6"
"96","2012","South Lanarkshire","Fairly good","54.8","53.5","42.9","43.2","26.3","44.9"
"97","2012","Stirling","Fairly good","*","49.8","*","31.5","8.9","33.6"
"98","2012","West Dunbartonshire","Fairly good","63.8","40.9","32.6","*","*","45.6"
"99","2012","West Lothian","Fairly good","*","54.5","38.5","*","*","42.4"
"100","2012","Aberdeen City","Fairly poor","*","1.9","*","*","0.6","4.2"
"101","2012","Aberdeenshire","Fairly poor","*","*","-","1.1","-","0.6"
"102","2012","Angus","Fairly poor","*","13.3","11.3","1.9","*","7.2"
"103","2012","Argyll & Bute","Fairly poor","*","5.7","-","6.6","*","4.9"
"104","2012","Clackmannanshire","Fairly poor","16.8","7.2","11.1","*","*","10.4"
"105","2012","Dumfries & Galloway","Fairly poor","*","2","3.1","1","*","1.9"
"106","2012","Dundee City","Fairly poor","9.5","0.9","*","*","*","3.3"
"107","2012","East Ayrshire","Fairly poor","12.7","7.7","*","*","*","7"
"108","2012","East Dunbartonshire","Fairly poor","*","*","*","-","-","1.4"
"109","2012","East Lothian","Fairly poor","*","*","*","1.6","*","3.8"
"110","2012","East Renfrewshire","Fairly poor","*","*","*","*","-","0.2"
"111","2012","Edinburgh, City of","Fairly poor","16.7","6.9","3.5","0.9","-","3.8"
