"Year","Geographylevel","Indicator","Categories","Age","Percent","Mean","LowerCI","UpperCI"
"2014","Scotland","Summary activity levels","Low activity","25-34",3,NA,1.1,4.5
"2014","Scotland","Summary activity levels","Very low activity","25-34",10,NA,7.3,13.1
"2014","Scotland","Summary activity levels","Meets recommendations","35-44",73,NA,69.1,76.7
"2014","Scotland","Summary activity levels","Some activity","35-44",9,NA,6.6,11.4
"2014","Scotland","Summary activity levels","Low activity","35-44",3,NA,1.8,4.7
"2014","Scotland","Summary activity levels","Very low activity","35-44",15,NA,11.9,17.8
"2014","Scotland","Summary activity levels","Meets recommendations","45-54",66,NA,61.8,69.9
"2014","Scotland","Summary activity levels","Some activity","45-54",10,NA,7.9,12.9
"2014","Scotland","Summary activity levels","Low activity","45-54",4,NA,2.9,6.1
"2014","Scotland","Summary activity levels","Very low activity","45-54",19,NA,15.9,22.6
"2014","Scotland","Summary activity levels","Meets recommendations","55-64",59,NA,54.4,63.4
"2014","Scotland","Summary activity levels","Some activity","55-64",13,NA,9.9,15.8
"2014","Scotland","Summary activity levels","Low activity","55-64",5,NA,3.4,6.6
"2014","Scotland","Summary activity levels","Very low activity","55-64",23,NA,19.6,27
"2014","Scotland","Summary activity levels","Meets recommendations","65-74",51,NA,46.5,55.1
"2014","Scotland","Summary activity levels","Some activity","65-74",14,NA,10.7,16.3
"2014","Scotland","Summary activity levels","Low activity","65-74",6,NA,3.8,7.5
"2014","Scotland","Summary activity levels","Very low activity","65-74",30,NA,26.2,33.8
"2014","Scotland","Summary activity levels","Meets recommendations","75+",26,NA,21.8,30.5
"2014","Scotland","Summary activity levels","Some activity","75+",13,NA,9.8,16.1
"2014","Scotland","Summary activity levels","Low activity","75+",5,NA,3.2,7.4
"2014","Scotland","Summary activity levels","Very low activity","75+",56,NA,50.7,60.5
"2014","Scotland","Summary activity levels","Meets recommendations","All",63,NA,61.4,65.2
"2014","Scotland","Summary activity levels","Some activity","All",11,NA,9.8,12.1
"2014","Scotland","Summary activity levels","Low activity","All",4,NA,3.6,4.9
"2014","Scotland","Summary activity levels","Very low activity","All",22,NA,20,23.1
"2015","Scotland","Summary activity levels","Meets recommendations","16-24",75,NA,70,80.9
"2015","Scotland","Summary activity levels","Some activity","16-24",11,NA,7.7,14.6
"2015","Scotland","Summary activity levels","Low activity","16-24",3,NA,1.1,4.6
"2015","Scotland","Summary activity levels","Very low activity","16-24",11,NA,6.9,14.2
"2015","Scotland","Summary activity levels","Meets recommendations","25-34",72,NA,68,76.9
"2015","Scotland","Summary activity levels","Some activity","25-34",12,NA,8.4,15.1
"2015","Scotland","Summary activity levels","Low activity","25-34",5,NA,3,7.2
"2015","Scotland","Summary activity levels","Very low activity","25-34",11,NA,7.7,13.8
"2015","Scotland","Summary activity levels","Meets recommendations","35-44",72,NA,68.2,76
"2015","Scotland","Summary activity levels","Some activity","35-44",11,NA,8.7,14.1
"2015","Scotland","Summary activity levels","Low activity","35-44",4,NA,2.1,5.5
"2015","Scotland","Summary activity levels","Very low activity","35-44",13,NA,9.6,15.8
"2015","Scotland","Summary activity levels","Meets recommendations","45-54",66,NA,62.5,69.7
"2015","Scotland","Summary activity levels","Some activity","45-54",9,NA,7.4,11.5
"2015","Scotland","Summary activity levels","Low activity","45-54",5,NA,3.5,6.5
"2015","Scotland","Summary activity levels","Very low activity","45-54",19,NA,16.4,22.6
"2015","Scotland","Summary activity levels","Meets recommendations","55-64",57,NA,52.7,60.7
"2015","Scotland","Summary activity levels","Some activity","55-64",13,NA,10.5,15.5
"2015","Scotland","Summary activity levels","Low activity","55-64",5,NA,3.6,6.8
"2015","Scotland","Summary activity levels","Very low activity","55-64",25,NA,21.5,28.8
"2015","Scotland","Summary activity levels","Meets recommendations","65-74",52,NA,48.5,56
"2015","Scotland","Summary activity levels","Some activity","65-74",12,NA,10.2,14.7
"2015","Scotland","Summary activity levels","Low activity","65-74",5,NA,3.8,7.2
"2015","Scotland","Summary activity levels","Very low activity","65-74",30,NA,26,33.6
"2015","Scotland","Summary activity levels","Meets recommendations","75+",31,NA,26.7,35.3
"2015","Scotland","Summary activity levels","Some activity","75+",13,NA,9.8,16.8
"2015","Scotland","Summary activity levels","Low activity","75+",4,NA,2.3,5.6
"2015","Scotland","Summary activity levels","Very low activity","75+",52,NA,47.1,56.4
"2015","Scotland","Summary activity levels","Meets recommendations","All",63,NA,60.9,64.8
"2015","Scotland","Summary activity levels","Some activity","All",12,NA,10.5,12.7
"2015","Scotland","Summary activity levels","Low activity","All",5,NA,3.8,5.2
"2015","Scotland","Summary activity levels","Very low activity","All",21,NA,19.4,22.5
"2016","Scotland","Summary activity levels","Meets recommendations","16-24",75,NA,69.5,81.2
"2016","Scotland","Summary activity levels","Some activity","16-24",9,NA,5.3,12.2
"2016","Scotland","Summary activity levels","Low activity","16-24",6,NA,3,8.6
"2016","Scotland","Summary activity levels","Very low activity","16-24",10,NA,6,14.1
"2016","Scotland","Summary activity levels","Meets recommendations","25-34",76,NA,70.8,80.4
"2016","Scotland","Summary activity levels","Some activity","25-34",11,NA,7.2,15
"2016","Scotland","Summary activity levels","Low activity","25-34",4,NA,2.2,5.9
"2016","Scotland","Summary activity levels","Very low activity","25-34",9,NA,6.3,12.2
"2016","Scotland","Summary activity levels","Meets recommendations","35-44",75,NA,71.1,79.1
"2016","Scotland","Summary activity levels","Some activity","35-44",10,NA,6.9,13
"2016","Scotland","Summary activity levels","Low activity","35-44",4,NA,2.1,5.6
"2016","Scotland","Summary activity levels","Very low activity","35-44",11,NA,8.2,14.1
"2016","Scotland","Summary activity levels","Meets recommendations","45-54",67,NA,63.1,71.3
"2016","Scotland","Summary activity levels","Some activity","45-54",10,NA,7.3,12
"2016","Scotland","Summary activity levels","Low activity","45-54",4,NA,2.5,5.5
"2016","Scotland","Summary activity levels","Very low activity","45-54",19,NA,15.7,22.6
"2016","Scotland","Summary activity levels","Meets recommendations","55-64",58,NA,53.9,62.3
"2016","Scotland","Summary activity levels","Some activity","55-64",12,NA,9.1,14
"2016","Scotland","Summary activity levels","Low activity","55-64",6,NA,3.8,7.3
"2016","Scotland","Summary activity levels","Very low activity","55-64",25,NA,21.3,28.2
"2016","Scotland","Summary activity levels","Meets recommendations","65-74",52,NA,47.3,56.7
"2016","Scotland","Summary activity levels","Some activity","65-74",13,NA,10.1,15.6
"2016","Scotland","Summary activity levels","Low activity","65-74",5,NA,3.3,6.9
"2016","Scotland","Summary activity levels","Very low activity","65-74",30,NA,25.8,34.3
"2016","Scotland","Summary activity levels","Meets recommendations","75+",30,NA,25.5,34.8
"2016","Scotland","Summary activity levels","Some activity","75+",13,NA,9.9,16.8
"2016","Scotland","Summary activity levels","Low activity","75+",5,NA,3.2,7.3
"2016","Scotland","Summary activity levels","Very low activity","75+",51,NA,46.2,56.4
"2016","Scotland","Summary activity levels","Meets recommendations","All",64,NA,62,66
"2016","Scotland","Summary activity levels","Some activity","All",11,NA,9.7,12.1
"2016","Scotland","Summary activity levels","Low activity","All",5,NA,3.9,5.5
"2016","Scotland","Summary activity levels","Very low activity","All",20,NA,18.8,22.1
"2017","Scotland","Summary activity levels","Meets recommendations","16-24",78,NA,72.7,83.8
"2017","Scotland","Summary activity levels","Some activity","16-24",9,NA,5,12.3
"2017","Scotland","Summary activity levels","Low activity","16-24",3,NA,0.6,4.4
"2017","Scotland","Summary activity levels","Very low activity","16-24",11,NA,6.6,14.5
"2017","Scotland","Summary activity levels","Meets recommendations","25-34",76,NA,72,80.6
"2017","Scotland","Summary activity levels","Some activity","25-34",10,NA,7.2,12.9
"2017","Scotland","Summary activity levels","Low activity","25-34",4,NA,2,5.9
"2017","Scotland","Summary activity levels","Very low activity","25-34",10,NA,6.9,12.6
