"","Year","Council","","1 - 20% most deprived","2","3","4","5 - 20% least deprived","All"
"73","2013","Dundee City","Walking (at least 30 min)","64.1","57.8","*","*","*","66.4"
"74","2013","East Ayrshire","Walking (at least 30 min)","48.7","39.6","*","*","*","53"
"75","2013","East Dunbartonshire","Walking (at least 30 min)","*","*","*","*","74.4","64"
"76","2013","East Lothian","Walking (at least 30 min)","*","57.1","*","63.4","*","63.9"
"77","2013","East Renfrewshire","Walking (at least 30 min)","*","*","*","*","76.1","64.4"
"78","2013","Edinburgh, City of","Walking (at least 30 min)","67.3","62","69.3","73.4","74.7","71"
"79","2013","Falkirk","Walking (at least 30 min)","*","60.9","*","*","*","62.7"
"80","2013","Fife","Walking (at least 30 min)","58.7","56.9","61.1","68.1","77.8","64.7"
"81","2013","Glasgow City","Walking (at least 30 min)","61.7","55.7","61.4","73.5","64.9","62.2"
"82","2013","Highland","Walking (at least 30 min)","*","68.7","72.9","85","*","73"
"83","2013","Inverclyde","Walking (at least 30 min)","53.8","*","*","*","*","61.3"
"84","2013","Midlothian","Walking (at least 30 min)","*","51.5","66.2","54.4","*","56.1"
"85","2013","Moray","Walking (at least 30 min)","*","*","67.1","70.4","*","68.3"
"86","2013","Na h-Eileanan Siar","Walking (at least 30 min)","-","67.7","68.8","*","-","68.4"
"87","2013","North Ayrshire","Walking (at least 30 min)","63.8","61.4","*","*","*","64.1"
"88","2013","North Lanarkshire","Walking (at least 30 min)","48.9","51.7","63.5","*","*","57.6"
"89","2013","Orkney Islands","Walking (at least 30 min)","-","69.8","*","74.1","*","74.2"
"90","2013","Perth & Kinross","Walking (at least 30 min)","*","*","*","77.7","70.9","74.2"
"91","2013","Renfrewshire","Walking (at least 30 min)","43","49.5","69.3","*","*","57.4"
"92","2013","Scotland","Walking (at least 30 min)","58.3","58.4","65.6","70.4","72.8","65.2"
"93","2013","Scottish Borders","Walking (at least 30 min)","*","*","66.8","68.5","*","69"
"94","2013","Shetland Islands","Walking (at least 30 min)","-","*","69.3","65.6","*","68.5"
"95","2013","South Ayrshire","Walking (at least 30 min)","*","58.8","63.3","*","68.6","66.6"
"96","2013","South Lanarkshire","Walking (at least 30 min)","63.2","58.6","60.3","71.5","77.2","65.6"
"97","2013","Stirling","Walking (at least 30 min)","*","87.6","*","81.7","81.7","81.8"
"98","2013","West Dunbartonshire","Walking (at least 30 min)","40.2","58.6","65.4","*","*","56.5"
"99","2013","West Lothian","Walking (at least 30 min)","*","50.2","59","*","*","61"
"100","2013","Aberdeen City","Swimming","*","19.4","16.7","*","27.3","22.2"
"101","2013","Aberdeenshire","Swimming","*","*","11.4","11.5","17.3","12.9"
"102","2013","Angus","Swimming","*","*","10.9","16.4","*","17.6"
"103","2013","Argyll & Bute","Swimming","*","*","16.3","17.3","*","16.1"
"104","2013","Clackmannanshire","Swimming","14.3","16.8","14.5","*","*","16.2"
"105","2013","Dumfries & Galloway","Swimming","*","20","14.6","12","*","15"
"106","2013","Dundee City","Swimming","12.4","14.6","*","*","*","15.9"
"107","2013","East Ayrshire","Swimming","8.3","7.3","*","*","*","13.1"
"108","2013","East Dunbartonshire","Swimming","*","*","*","*","20.4","20"
"109","2013","East Lothian","Swimming","*","18.7","*","25.1","*","24.2"
"110","2013","East Renfrewshire","Swimming","*","*","*","*","18.3","15.6"
"111","2013","Edinburgh, City of","Swimming","12.9","12.9","15.3","23.9","23","19.3"
"112","2013","Falkirk","Swimming","*","9.6","*","*","*","17.2"
"113","2013","Fife","Swimming","6.4","9.2","20.7","13.2","12.3","12.6"
"114","2013","Glasgow City","Swimming","12.6","18.9","20","19.2","21.9","16.3"
"115","2013","Highland","Swimming","*","14.3","20","25.8","*","21.2"
"116","2013","Inverclyde","Swimming","9.9","*","*","*","*","14.2"
"117","2013","Midlothian","Swimming","*","16.4","35.2","15","*","19.7"
"118","2013","Moray","Swimming","*","*","22.2","22.5","*","20.1"
"119","2013","Na h-Eileanan Siar","Swimming","-","18.1","18.2","*","-","18.6"
"120","2013","North Ayrshire","Swimming","24.9","24.7","*","*","*","20.4"
"121","2013","North Lanarkshire","Swimming","23","14.4","14.3","*","*","17.2"
"122","2013","Orkney Islands","Swimming","-","27.3","*","21.5","*","20.4"
"123","2013","Perth & Kinross","Swimming","*","*","*","28.1","28.8","25.6"
"124","2013","Renfrewshire","Swimming","14.3","12.4","16.9","*","*","16.2"
"125","2013","Scotland","Swimming","15","15.3","17.3","18.9","20.4","17.4"
"126","2013","Scottish Borders","Swimming","*","*","24","22.4","*","21.2"
