"","Year","Council","","1 - 20% most deprived","2","3","4","5 - 20% least deprived","All"
"928","2014","Argyll & Bute","Bowls","*","2.5","4.9","2","*","3"
"929","2014","Clackmannanshire","Bowls","0.8","-","4.6","*","*","1.8"
"930","2014","Dumfries & Galloway","Bowls","*","1.4","-","3.1","*","1.6"
"931","2014","Dundee City","Bowls","1.2","1.2","*","*","*","1.9"
"932","2014","East Ayrshire","Bowls","4.1","2.6","*","*","*","3.5"
"933","2014","East Dunbartonshire","Bowls","*","*","*","*","1.2","1.5"
"934","2014","East Lothian","Bowls","*","*","*","1.2","*","2.2"
"935","2014","East Renfrewshire","Bowls","*","*","*","*","0.6","1.5"
"936","2014","Edinburgh, City of","Bowls","2.6","3.2","-","3.6","2.9","2.6"
"937","2014","Falkirk","Bowls","*","-","6.4","*","*","1.9"
"938","2014","Fife","Bowls","2.1","0.8","0.8","1.7","2.2","1.5"
"939","2014","Glasgow City","Bowls","2.3","3.5","2.7","3","-","2.5"
"940","2014","Highland","Bowls","*","0.8","2.8","-","*","2.9"
"941","2014","Inverclyde","Bowls","0.5","*","*","*","*","0.4"
"942","2014","Midlothian","Bowls","*","-","*","*","*","3.2"
"943","2014","Moray","Bowls","*","*","2.3","10.1","*","5.6"
"944","2014","Na h-Eileanan Siar","Bowls","-","1.4","2.3","*","-","2"
"945","2014","North Ayrshire","Bowls","5.4","3.7","*","*","*","3.9"
"946","2014","North Lanarkshire","Bowls","2.1","2.7","5.1","1.1","*","2.7"
"947","2014","Orkney Islands","Bowls","-","1.9","*","3.8","*","3.3"
"948","2014","Perth & Kinross","Bowls","*","*","*","1.7","-","0.9"
"949","2014","Renfrewshire","Bowls","1.2","*","*","*","*","2.8"
"950","2014","Scotland","Bowls","2.3","3","2.8","2.5","2.5","2.6"
"951","2014","Scottish Borders","Bowls","*","*","1.2","-","*","1.1"
"952","2014","Shetland Islands","Bowls","-","*","1","1.5","*","1.2"
"953","2014","South Ayrshire","Bowls","*","3.8","*","*","*","5.4"
"954","2014","South Lanarkshire","Bowls","3.5","2.3","1.9","2.9","3.4","2.7"
"955","2014","Stirling","Bowls","*","-","*","-","-","0.4"
"956","2014","West Dunbartonshire","Bowls","2.5","6.8","3.7","*","*","4.4"
"957","2014","West Lothian","Bowls","*","10.9","*","*","*","5.5"
"958","2014","Aberdeen City","Other","*","6.2","8","*","9.8","7.9"
"959","2014","Aberdeenshire","Other","*","*","8.8","5.5","9.6","7.6"
"960","2014","Angus","Other","*","9.2","2.9","7.2","*","6.4"
"961","2014","Argyll & Bute","Other","*","9.2","14.2","15.5","*","11.5"
"962","2014","Clackmannanshire","Other","7.3","4","16.7","*","*","10.5"
"963","2014","Dumfries & Galloway","Other","*","9.9","6.6","6","*","6.8"
"964","2014","Dundee City","Other","1.1","17.1","*","*","*","10.4"
"965","2014","East Ayrshire","Other","5.2","10.1","*","*","*","8.5"
"966","2014","East Dunbartonshire","Other","*","*","*","*","17.9","16.5"
"967","2014","East Lothian","Other","*","*","*","17.5","*","12.8"
"968","2014","East Renfrewshire","Other","*","*","*","*","8.3","7.5"
"969","2014","Edinburgh, City of","Other","2","12.5","17.9","17.1","15.2","13.9"
"970","2014","Falkirk","Other","*","3.5","2.6","*","*","5.2"
"971","2014","Fife","Other","2.2","6","9.7","5","6.8","6.1"
"972","2014","Glasgow City","Other","4.4","7.7","13.4","8.5","11.9","7.2"
"973","2014","Highland","Other","*","8.7","15.6","10.9","*","11.6"
"974","2014","Inverclyde","Other","4.6","*","*","*","*","8.1"
"975","2014","Midlothian","Other","*","10","*","*","*","9"
"976","2014","Moray","Other","*","*","12","12.7","*","13.2"
"977","2014","Na h-Eileanan Siar","Other","-","7.7","6","*","-","6.5"
"978","2014","North Ayrshire","Other","9.5","7.9","*","*","*","12.1"
"979","2014","North Lanarkshire","Other","4.7","5.3","4.8","10.9","*","6"
"980","2014","Orkney Islands","Other","-","34.8","*","26.5","*","28.8"
"981","2014","Perth & Kinross","Other","*","*","*","6","3.9","4.4"
"982","2014","Renfrewshire","Other","6.7","*","*","*","*","7.2"
"983","2014","Scotland","Other","4.6","7.3","9.8","10.8","11.5","8.8"
"984","2014","Scottish Borders","Other","*","*","5.1","22","*","14.4"
"985","2014","Shetland Islands","Other","-","*","15.5","12.4","*","12.3"
"986","2014","South Ayrshire","Other","*","8.5","*","*","*","9.1"
"987","2014","South Lanarkshire","Other","3.3","3.6","8.5","5.9","7.4","5.7"
"988","2014","Stirling","Other","*","4.5","*","20.2","16.3","13.7"
"989","2014","West Dunbartonshire","Other","7.1","7.1","2.5","*","*","7.3"
"990","2014","West Lothian","Other","*","4.5","*","*","*","5.1"
"991","2014","Aberdeen City","None","*","25.6","19.6","*","11.2","19.6"
"992","2014","Aberdeenshire","None","*","*","27.2","24.1","18.9","24.9"
"993","2014","Angus","None","*","27.3","20.2","13.3","*","20.3"
"994","2014","Argyll & Bute","None","*","23.7","30","22.9","*","26.9"
"995","2014","Clackmannanshire","None","39.3","23.8","9.4","*","*","22.4"
"996","2014","Dumfries & Galloway","None","*","24.7","32.9","24.1","*","29.3"
"997","2014","Dundee City","None","27.7","22","*","*","*","23.9"
"998","2014","East Ayrshire","None","31.9","22.5","*","*","*","24"
"999","2014","East Dunbartonshire","None","*","*","*","*","12.1","15.2"
"1000","2014","East Lothian","None","*","*","*","14.1","*","18.5"
"1001","2014","East Renfrewshire","None","*","*","*","*","21.3","24.2"
"1002","2014","Edinburgh, City of","None","29.8","17.6","10.6","14.7","12.1","15.3"
"1003","2014","Falkirk","None","*","28.5","22.9","*","*","26.3"
"1004","2014","Fife","None","23.3","28.6","14.9","15.8","17.1","20"
"1005","2014","Glasgow City","None","27.3","18.1","18.5","13.2","13.4","21.8"
"1006","2014","Highland","None","*","33.7","19.4","23.8","*","24.4"
"1007","2014","Inverclyde","None","39.7","*","*","*","*","25.6"
"1008","2014","Midlothian","None","*","33.9","*","*","*","20"
"1009","2014","Moray","None","*","*","26.8","18.8","*","22.5"
"1010","2014","Na h-Eileanan Siar","None","-","19.6","23","*","-","21.6"
"1011","2014","North Ayrshire","None","29.5","20.8","*","*","*","21.4"
"1012","2014","North Lanarkshire","None","26.1","30.4","31.1","24.1","*","27.4"
"1013","2014","Orkney Islands","None","-","21.8","*","15.1","*","17.4"
"1014","2014","Perth & Kinross","None","*","*","*","17.3","8.8","18.9"
"1015","2014","Renfrewshire","None","32.6","*","*","*","*","23.7"
"1016","2014","Scotland","None","29.2","26.8","21.1","18.3","15.8","22.2"
"1017","2014","Scottish Borders","None","*","*","25.2","22.5","*","24.8"
"1018","2014","Shetland Islands","None","-","*","21.5","15.4","*","19.2"
"1019","2014","South Ayrshire","None","*","19.9","*","*","*","15.9"
"1020","2014","South Lanarkshire","None","39.1","30.3","17","18.2","19.7","25.2"
"1021","2014","Stirling","None","*","21.5","*","12.3","3.3","12.4"
"1022","2014","West Dunbartonshire","None","32.5","30.4","30.1","*","*","28.6"
"1023","2014","West Lothian","None","*","41.5","*","*","*","27.9"
"1024","2014","Aberdeen City","Base","40","60","50","30","110","290"
"1025","2014","Aberdeenshire","Base","10","20","70","110","90","300"
"1026","2014","Angus","Base","20","50","60","90","30","260"
"1027","2014","Argyll & Bute","Base","30","50","90","80","30","270"
"1028","2014","Clackmannanshire","Base","70","50","60","40","30","250"
"1029","2014","Dumfries & Galloway","Base","20","50","80","60","20","230"
"1030","2014","Dundee City","Base","110","50","30","30","30","250"
"1031","2014","East Ayrshire","Base","60","80","30","40","20","230"
"1032","2014","East Dunbartonshire","Base","10","30","20","40","120","220"
"1033","2014","East Lothian","Base","10","40","50","80","40","220"
"1034","2014","East Renfrewshire","Base","30","20","20","30","120","220"
"1035","2014","Edinburgh, City of","Base","100","100","120","120","280","710"
"1036","2014","Falkirk","Base","40","80","60","50","50","260"
"1037","2014","Fife","Base","90","110","110","90","90","490"
"1038","2014","Glasgow City","Base","500","170","110","110","60","950"
"1039","2014","Highland","Base","30","70","100","100","30","320"
"1040","2014","Inverclyde","Base","110","40","40","40","30","250"
"1041","2014","Midlothian","Base","10","60","50","40","30","190"
"1042","2014","Moray","Base","0","40","100","80","30","250"
"1043","2014","Na h-Eileanan Siar","Base","-","100","170","0","-","270"
"1044","2014","North Ayrshire","Base","90","60","30","40","20","250"
"1045","2014","North Lanarkshire","Base","150","120","90","60","30","450"
"1046","2014","Orkney Islands","Base","-","60","50","150","10","270"
"1047","2014","Perth & Kinross","Base","20","20","40","110","60","250"
"1048","2014","Renfrewshire","Base","80","40","50","30","50","250"
"1049","2014","Scotland","Base","1920","2000","2110","2110","1660","9800"
"1050","2014","Scottish Borders","Base","10","30","80","110","20","250"
"1051","2014","Shetland Islands","Base","-","10","110","130","20","260"
"1052","2014","South Ayrshire","Base","50","70","50","40","50","250"
"1053","2014","South Lanarkshire","Base","90","100","100","60","60","410"
"1054","2014","Stirling","Base","20","50","40","70","70","250"
"1055","2014","West Dunbartonshire","Base","100","90","60","20","10","280"
"1056","2014","West Lothian","Base","30","60","40","40","30","200"
"1057","2015","Aberdeen City","Any sport incl. walking","*","78.8","80.2","*","89.8","83.3"
"1058","2015","Aberdeenshire","Any sport incl. walking","*","*","80.3","79.4","88.1","83.1"
"1059","2015","Angus","Any sport incl. walking","*","70.1","79.1","79","*","79.6"
"1060","2015","Argyll & Bute","Any sport incl. walking","*","*","66.3","77.4","*","71.2"
"1061","2015","Clackmannanshire","Any sport incl. walking","66.3","*","64.1","*","*","74"
"1062","2015","Dumfries & Galloway","Any sport incl. walking","*","*","74.2","78.7","*","73.8"
"1063","2015","Dundee City","Any sport incl. walking","84.8","*","*","*","*","83.6"
"1064","2015","East Ayrshire","Any sport incl. walking","74.7","70.9","*","*","*","75.9"
"1065","2015","East Dunbartonshire","Any sport incl. walking","*","*","*","*","88.2","84.1"
"1066","2015","East Lothian","Any sport incl. walking","*","*","*","87.5","*","85.2"
"1067","2015","East Renfrewshire","Any sport incl. walking","*","*","*","87.5","87.4","86"
"1068","2015","Edinburgh, City of","Any sport incl. walking","81.8","88.5","88.6","91.7","94","90.7"
"1069","2015","Falkirk","Any sport incl. walking","*","68.2","64.7","89.5","*","77.5"
"1070","2015","Fife","Any sport incl. walking","70.5","71","79.8","83.2","87.6","77.8"
"1071","2015","Glasgow City","Any sport incl. walking","66.6","72","82","90.3","81.2","73.8"
"1072","2015","Highland","Any sport incl. walking","*","71.8","83.8","88.1","*","80.6"
"1073","2015","Inverclyde","Any sport incl. walking","70","*","*","*","*","75"
"1074","2015","Midlothian","Any sport incl. walking","*","79.7","*","88.7","*","84"
"1075","2015","Moray","Any sport incl. walking","*","*","84.3","83.6","*","83.1"
"1076","2015","Na h-Eileanan Siar","Any sport incl. walking","-","86.4","79.9","*","-","81.3"
"1077","2015","North Ayrshire","Any sport incl. walking","75.1","58.8","*","*","*","73.8"
"1078","2015","North Lanarkshire","Any sport incl. walking","72.2","70","68.3","*","*","71.4"
"1079","2015","Orkney Islands","Any sport incl. walking","-","83","*","81.9","*","81.3"
"1080","2015","Perth & Kinross","Any sport incl. walking","*","*","*","82.8","88.4","85.5"
"1081","2015","Renfrewshire","Any sport incl. walking","62.7","*","79.9","*","*","71.1"
"1082","2015","Scotland","Any sport incl. walking","71.8","74.6","80","84.2","88.4","79.9"
"1083","2015","Scottish Borders","Any sport incl. walking","*","*","80.8","83","*","82.1"
"1084","2015","Shetland Islands","Any sport incl. walking","-","*","78.5","84.6","*","82.2"
"1085","2015","South Ayrshire","Any sport incl. walking","*","82","82.7","*","88","82.9"
"1086","2015","South Lanarkshire","Any sport incl. walking","76.2","76.7","80.3","89.5","88","81.8"
"1087","2015","Stirling","Any sport incl. walking","*","*","*","82.3","97.1","86.7"
"1088","2015","West Dunbartonshire","Any sport incl. walking","64.1","65.6","*","*","*","67"
"1089","2015","West Lothian","Any sport incl. walking","*","88","93.4","*","*","88"
"1090","2015","Aberdeen City","Any sport excl. walking","*","42.7","53.2","*","62.2","55.8"
"1091","2015","Aberdeenshire","Any sport excl. walking","*","*","48.1","45.5","51.7","47"
"1092","2015","Angus","Any sport excl. walking","*","39.1","49.6","45.6","*","48.8"
"1093","2015","Argyll & Bute","Any sport excl. walking","*","*","35.8","46.5","*","43.2"
"1094","2015","Clackmannanshire","Any sport excl. walking","30.7","*","43.2","*","*","45.5"
"1095","2015","Dumfries & Galloway","Any sport excl. walking","*","*","48.3","45","*","45.2"
"1096","2015","Dundee City","Any sport excl. walking","59.1","*","*","*","*","63.5"
"1097","2015","East Ayrshire","Any sport excl. walking","38.8","41.3","*","*","*","43.6"
"1098","2015","East Dunbartonshire","Any sport excl. walking","*","*","*","*","69.8","60.5"
"1099","2015","East Lothian","Any sport excl. walking","*","*","*","69.1","*","60.2"
"1100","2015","East Renfrewshire","Any sport excl. walking","*","*","*","61.1","62.2","59"
"1101","2015","Edinburgh, City of","Any sport excl. walking","54.7","58.1","60.1","66.3","72.1","65.4"
"1102","2015","Falkirk","Any sport excl. walking","*","36.5","38.6","61","*","47"
"1103","2015","Fife","Any sport excl. walking","38.7","41.3","52.4","52","47.1","46.1"
"1104","2015","Glasgow City","Any sport excl. walking","39.4","52.3","65.5","58.1","63.7","49.9"
"1105","2015","Highland","Any sport excl. walking","*","50.7","50.6","64.1","*","56.5"
"1106","2015","Inverclyde","Any sport excl. walking","45.4","*","*","*","*","45.1"
"1107","2015","Midlothian","Any sport excl. walking","*","49.3","*","52.9","*","52"
"1108","2015","Moray","Any sport excl. walking","*","*","61.5","56.9","*","56.8"
"1109","2015","Na h-Eileanan Siar","Any sport excl. walking","-","40.4","44.9","*","-","42.9"
"1110","2015","North Ayrshire","Any sport excl. walking","51.4","34.9","*","*","*","45.5"
"1111","2015","North Lanarkshire","Any sport excl. walking","45.7","42.8","47.9","*","*","46.9"
"1112","2015","Orkney Islands","Any sport excl. walking","-","49.9","*","53","*","51.5"
"1113","2015","Perth & Kinross","Any sport excl. walking","*","*","*","61.7","51.7","58.4"
"1114","2015","Renfrewshire","Any sport excl. walking","38.8","*","50.5","*","*","43.1"
"1115","2015","Scotland","Any sport excl. walking","43.2","45","51.3","56","61.6","51.5"
"1116","2015","Scottish Borders","Any sport excl. walking","*","*","44.6","46.4","*","45.8"
"1117","2015","Shetland Islands","Any sport excl. walking","-","*","49","45.6","*","49.1"
"1118","2015","South Ayrshire","Any sport excl. walking","*","42.1","52.7","*","67.2","52.4"
"1119","2015","South Lanarkshire","Any sport excl. walking","39.4","39.1","47.6","59.9","62.4","49.1"
"1120","2015","Stirling","Any sport excl. walking","*","*","*","56.1","69.8","58.4"
"1121","2015","West Dunbartonshire","Any sport excl. walking","29.7","51.1","*","*","*","41.5"
"1122","2015","West Lothian","Any sport excl. walking","*","34.8","54.8","*","*","47.3"
"1123","2015","Aberdeen City","Walking (at least 30 min)","*","69","67.6","*","80.6","74.1"
"1124","2015","Aberdeenshire","Walking (at least 30 min)","*","*","73.9","70.6","78.1","73.7"
"1125","2015","Angus","Walking (at least 30 min)","*","56.4","66.5","71.2","*","69.5"
"1126","2015","Argyll & Bute","Walking (at least 30 min)","*","*","61","65.8","*","59.1"
"1127","2015","Clackmannanshire","Walking (at least 30 min)","60.5","*","51.1","*","*","64.9"
"1128","2015","Dumfries & Galloway","Walking (at least 30 min)","*","*","68.3","72.1","*","65.1"
"1129","2015","Dundee City","Walking (at least 30 min)","71.5","*","*","*","*","69.9"
"1130","2015","East Ayrshire","Walking (at least 30 min)","64.6","56.4","*","*","*","62.8"
"1131","2015","East Dunbartonshire","Walking (at least 30 min)","*","*","*","*","79.7","74.7"
"1132","2015","East Lothian","Walking (at least 30 min)","*","*","*","73.7","*","74.3"
"1133","2015","East Renfrewshire","Walking (at least 30 min)","*","*","*","83.5","74.2","74.3"
"1134","2015","Edinburgh, City of","Walking (at least 30 min)","76.2","78.9","81.2","79.6","86.9","82.4"
"1135","2015","Falkirk","Walking (at least 30 min)","*","59.3","59.9","74.7","*","67.7"
"1136","2015","Fife","Walking (at least 30 min)","61.4","58.8","65.4","71.5","82","67"
"1137","2015","Glasgow City","Walking (at least 30 min)","54.2","60.4","69.1","79.9","72.1","61.9"
"1138","2015","Highland","Walking (at least 30 min)","*","66","77.8","74.7","*","72.1"
"1139","2015","Inverclyde","Walking (at least 30 min)","59.3","*","*","*","*","63.8"
"1140","2015","Midlothian","Walking (at least 30 min)","*","63.4","*","82.7","*","73.9"
"1141","2015","Moray","Walking (at least 30 min)","*","*","73.8","72.5","*","72.6"
"1142","2015","Na h-Eileanan Siar","Walking (at least 30 min)","-","82.1","70.9","*","-","73.7"
"1143","2015","North Ayrshire","Walking (at least 30 min)","54.9","51.9","*","*","*","59.2"
"1144","2015","North Lanarkshire","Walking (at least 30 min)","61.8","60","53.5","*","*","60.7"
"1145","2015","Orkney Islands","Walking (at least 30 min)","-","78.7","*","70","*","71.7"
"1146","2015","Perth & Kinross","Walking (at least 30 min)","*","*","*","74.4","83.2","75.8"
"1147","2015","Renfrewshire","Walking (at least 30 min)","52.9","*","66.1","*","*","58"
"1148","2015","Scotland","Walking (at least 30 min)","60.5","63.7","68.9","73.7","79.5","69.3"
"1149","2015","Scottish Borders","Walking (at least 30 min)","*","*","76.6","81.9","*","78.8"
"1150","2015","Shetland Islands","Walking (at least 30 min)","-","*","73.3","75.3","*","73.9"
"1151","2015","South Ayrshire","Walking (at least 30 min)","*","76.7","74","*","85.7","77.1"
"1152","2015","South Lanarkshire","Walking (at least 30 min)","67","64.6","65.9","72.6","77.9","69"
"1153","2015","Stirling","Walking (at least 30 min)","*","*","*","77.7","87.4","76.5"
"1154","2015","West Dunbartonshire","Walking (at least 30 min)","56.6","51.9","*","*","*","56.4"
"1155","2015","West Lothian","Walking (at least 30 min)","*","80.6","69","*","*","71.5"
"1156","2015","Aberdeen City","Swimming","*","12.4","10","*","17.8","16.7"
"1157","2015","Aberdeenshire","Swimming","*","*","9.4","14.4","15.4","12.9"
"1158","2015","Angus","Swimming","*","2.8","19.5","15.1","*","14.8"
"1159","2015","Argyll & Bute","Swimming","*","*","5.3","13.8","*","10.1"
"1160","2015","Clackmannanshire","Swimming","17","*","8.2","*","*","12.7"
"1161","2015","Dumfries & Galloway","Swimming","*","*","11.4","11.7","*","11.3"
"1162","2015","Dundee City","Swimming","13.8","*","*","*","*","17.7"
"1163","2015","East Ayrshire","Swimming","10.8","7.7","*","*","*","11.2"
"1164","2015","East Dunbartonshire","Swimming","*","*","*","*","19.5","19"
"1165","2015","East Lothian","Swimming","*","*","*","24.5","*","19.7"
"1166","2015","East Renfrewshire","Swimming","*","*","*","12.6","22.3","18.2"
"1167","2015","Edinburgh, City of","Swimming","21.1","14.4","21.4","22.3","28.1","23.4"
"1168","2015","Falkirk","Swimming","*","12.7","19","12.3","*","17"
"1169","2015","Fife","Swimming","12.3","11.2","17.8","19.4","20.2","15.9"
"1170","2015","Glasgow City","Swimming","9.2","19.4","17.6","23.9","19.4","14.9"
"1171","2015","Highland","Swimming","*","21.3","18.1","27.6","*","23"
"1172","2015","Inverclyde","Swimming","11.8","*","*","*","*","11.6"
"1173","2015","Midlothian","Swimming","*","22.9","*","34.6","*","24.5"
"1174","2015","Moray","Swimming","*","*","14.7","15.1","*","14.9"
"1175","2015","Na h-Eileanan Siar","Swimming","-","9.6","14.2","*","-","12.7"
"1176","2015","North Ayrshire","Swimming","14.9","16.6","*","*","*","12.9"
"1177","2015","North Lanarkshire","Swimming","24.5","16.7","12.7","*","*","18.6"
"1178","2015","Orkney Islands","Swimming","-","21.1","*","15.3","*","15.4"
"1179","2015","Perth & Kinross","Swimming","*","*","*","23.4","18.4","21.9"
"1180","2015","Renfrewshire","Swimming","9.3","*","21.8","*","*","14.2"
"1181","2015","Scotland","Swimming","13.8","14.5","16.2","19.1","20.9","17"
"1182","2015","Scottish Borders","Swimming","*","*","11.9","17.2","*","15.6"
"1183","2015","Shetland Islands","Swimming","-","*","16.6","13.3","*","15.3"
"1184","2015","South Ayrshire","Swimming","*","13.2","22.4","*","16.8","17"
"1185","2015","South Lanarkshire","Swimming","15.8","11.3","20.4","19.1","22.1","17.6"
"1186","2015","Stirling","Swimming","*","*","*","25.9","23.8","23.4"
"1187","2015","West Dunbartonshire","Swimming","11.1","18.9","*","*","*","13.7"
"1188","2015","West Lothian","Swimming","*","11.7","19.8","*","*","14.7"
"1189","2015","Aberdeen City","Keep fit","*","17.5","18.9","*","23","18.2"
"1190","2015","Aberdeenshire","Keep fit","*","*","13.5","12.2","9.3","11.1"
"1191","2015","Angus","Keep fit","*","9.7","7","12.5","*","12.2"
"1192","2015","Argyll & Bute","Keep fit","*","*","5.4","3.1","*","8.4"
"1193","2015","Clackmannanshire","Keep fit","1","*","14","*","*","11.7"
"1194","2015","Dumfries & Galloway","Keep fit","*","*","10.8","8.5","*","8.3"
"1195","2015","Dundee City","Keep fit","7.9","*","*","*","*","13.3"
"1196","2015","East Ayrshire","Keep fit","13.5","12.3","*","*","*","11.3"
"1197","2015","East Dunbartonshire","Keep fit","*","*","*","*","30.3","26.4"
"1198","2015","East Lothian","Keep fit","*","*","*","24.3","*","17.1"
"1199","2015","East Renfrewshire","Keep fit","*","*","*","22.4","21","18.8"
"1200","2015","Edinburgh, City of","Keep fit","12.5","18.1","15.2","16.4","19","17.1"
"1201","2015","Falkirk","Keep fit","*","5","6.7","23.5","*","14"
"1202","2015","Fife","Keep fit","6.7","9.9","18.1","12","7.6","10.9"
"1203","2015","Glasgow City","Keep fit","10.3","11.6","19.4","21.7","20.3","14"
"1204","2015","Highland","Keep fit","*","7.2","10","11.5","*","11.6"
"1205","2015","Inverclyde","Keep fit","20","*","*","*","*","16.8"
"1206","2015","Midlothian","Keep fit","*","15.7","*","12.9","*","11.5"
"1207","2015","Moray","Keep fit","*","*","16.2","15.4","*","14.6"
"1208","2015","Na h-Eileanan Siar","Keep fit","-","7.3","13.5","*","-","11.5"
"1209","2015","North Ayrshire","Keep fit","4.3","6","*","*","*","7.4"
"1210","2015","North Lanarkshire","Keep fit","11.1","14.2","13.3","*","*","11.9"
"1211","2015","Orkney Islands","Keep fit","-","7.7","*","13","*","11.3"
"1212","2015","Perth & Kinross","Keep fit","*","*","*","20.5","7.6","15.8"
"1213","2015","Renfrewshire","Keep fit","12.8","*","12.8","*","*","13.9"
"1214","2015","Scotland","Keep fit","10.7","11.5","13.1","14.9","17.6","13.6"
"1215","2015","Scottish Borders","Keep fit","*","*","8.7","7.2","*","6.7"
"1216","2015","Shetland Islands","Keep fit","-","*","15.1","13.6","*","14.9"
"1217","2015","South Ayrshire","Keep fit","*","12.1","20.3","*","26.9","17.7"
"1218","2015","South Lanarkshire","Keep fit","12.2","13.4","11.4","14.5","22","14.3"
"1219","2015","Stirling","Keep fit","*","*","*","15.8","11.6","15.1"
"1220","2015","West Dunbartonshire","Keep fit","9.5","13.7","*","*","*","9.6"
"1221","2015","West Lothian","Keep fit","*","10","16.6","*","*","12.6"
"1222","2015","Aberdeen City","MultiGym / Weight training","*","16.8","15.3","*","12.8","14.2"
"1223","2015","Aberdeenshire","MultiGym / Weight training","*","*","13","7.3","8.2","8.7"
"1224","2015","Angus","MultiGym / Weight training","*","22.1","4.8","7.7","*","11.3"
"1225","2015","Argyll & Bute","MultiGym / Weight training","*","*","7.7","7.1","*","9.5"
"1226","2015","Clackmannanshire","MultiGym / Weight training","3.3","*","9.5","*","*","12.3"
"1227","2015","Dumfries & Galloway","MultiGym / Weight training","*","*","9.9","6.3","*","7.1"
"1228","2015","Dundee City","MultiGym / Weight training","15.7","*","*","*","*","18.7"
"1229","2015","East Ayrshire","MultiGym / Weight training","9.6","6.5","*","*","*","8.2"
"1230","2015","East Dunbartonshire","MultiGym / Weight training","*","*","*","*","21.2","19.9"
"1231","2015","East Lothian","MultiGym / Weight training","*","*","*","11","*","8.3"
"1232","2015","East Renfrewshire","MultiGym / Weight training","*","*","*","7","16.1","12.5"
"1233","2015","Edinburgh, City of","MultiGym / Weight training","10.2","17.4","24.3","15","25.5","20.6"
"1234","2015","Falkirk","MultiGym / Weight training","*","10.2","7.9","23.9","*","14.1"
"1235","2015","Fife","MultiGym / Weight training","10","3.8","18.6","5","11.5","9.6"
"1236","2015","Glasgow City","MultiGym / Weight training","11.7","18.1","23.6","15","16.2","15.6"
"1237","2015","Highland","MultiGym / Weight training","*","2.7","7.2","10.1","*","8.2"
"1238","2015","Inverclyde","MultiGym / Weight training","16.2","*","*","*","*","13.7"
"1239","2015","Midlothian","MultiGym / Weight training","*","17.4","*","9","*","13.3"
"1240","2015","Moray","MultiGym / Weight training","*","*","15.1","11.7","*","12.4"
"1241","2015","Na h-Eileanan Siar","MultiGym / Weight training","-","4.6","6.9","*","-","6.1"
"1242","2015","North Ayrshire","MultiGym / Weight training","11.9","8","*","*","*","9.8"
"1243","2015","North Lanarkshire","MultiGym / Weight training","7.7","11.7","9.5","*","*","12.4"
"1244","2015","Orkney Islands","MultiGym / Weight training","-","11.8","*","8.5","*","9.5"
"1245","2015","Perth & Kinross","MultiGym / Weight training","*","*","*","18","15.6","13.9"
"1246","2015","Renfrewshire","MultiGym / Weight training","11.8","*","18.7","*","*","10.8"
"1247","2015","Scotland","MultiGym / Weight training","10.7","11","14.8","12.1","16.5","13"
"1248","2015","Scottish Borders","MultiGym / Weight training","*","*","4.7","5.3","*","4.2"
"1249","2015","Shetland Islands","MultiGym / Weight training","-","*","14.5","14.9","*","14.5"
"1250","2015","South Ayrshire","MultiGym / Weight training","*","8.4","9.7","*","13.2","9.6"
"1251","2015","South Lanarkshire","MultiGym / Weight training","8.2","16.1","20.3","17.8","13.7","15.9"
"1252","2015","Stirling","MultiGym / Weight training","*","*","*","8.8","20.9","11.7"
"1253","2015","West Dunbartonshire","MultiGym / Weight training","11.1","15.2","*","*","*","13.8"
"1254","2015","West Lothian","MultiGym / Weight training","*","4.7","27.8","*","*","14.6"
"1255","2015","Aberdeen City","Running / Jogging","*","8.4","12.1","*","15.3","14.1"
"1256","2015","Aberdeenshire","Running / Jogging","*","*","19.2","11.3","7.7","10.5"
"1257","2015","Angus","Running / Jogging","*","4.3","-","7.8","*","6.1"
"1258","2015","Argyll & Bute","Running / Jogging","*","*","5.3","6.1","*","9.4"
"1259","2015","Clackmannanshire","Running / Jogging","7.1","*","10.7","*","*","10.3"
"1260","2015","Dumfries & Galloway","Running / Jogging","*","*","9.9","13.5","*","9.4"
"1261","2015","Dundee City","Running / Jogging","14.6","*","*","*","*","13.5"
"1262","2015","East Ayrshire","Running / Jogging","10.1","8.1","*","*","*","9.1"
"1263","2015","East Dunbartonshire","Running / Jogging","*","*","*","*","22.7","18.1"
"1264","2015","East Lothian","Running / Jogging","*","*","*","30.5","*","16.1"
"1265","2015","East Renfrewshire","Running / Jogging","*","*","*","13.5","15","12.8"
"1266","2015","Edinburgh, City of","Running / Jogging","17.9","14","16.8","23","22.4","20.1"
"1267","2015","Falkirk","Running / Jogging","*","-","13.3","29.3","*","15.1"
"1268","2015","Fife","Running / Jogging","10.9","12.7","10.1","6.7","10.2","10.2"
"1269","2015","Glasgow City","Running / Jogging","7","13.5","18.3","18.8","19.3","12.3"
"1270","2015","Highland","Running / Jogging","*","8.3","11.7","11.7","*","13.2"
"1271","2015","Inverclyde","Running / Jogging","15.1","*","*","*","*","12.1"
"1272","2015","Midlothian","Running / Jogging","*","11.8","*","9.5","*","14.9"
"1273","2015","Moray","Running / Jogging","*","*","21.7","12.1","*","15"
"1274","2015","Na h-Eileanan Siar","Running / Jogging","-","3.2","9.8","*","-","7.8"
"1275","2015","North Ayrshire","Running / Jogging","9.4","4.8","*","*","*","8.3"
"1276","2015","North Lanarkshire","Running / Jogging","11.5","12.2","6.2","*","*","9.9"
